indicator_harmonized,indic_ids,sources,policy
1-in-100-year return period level (etwl),IPCC_sup_52,IPCC,0
10-day cumulative precipitation,IPCC_12_17_597,IPCC,0
15n/14n isotope ratio,IPCC_5_36_279,IPCC,0
2 m air temperatures,IPCC_12_15_596,IPCC,0
ability of ecosystems to absorb and buffer hazards,GA_2.3_42_143,IPBES,0
abnormal occurrences in the territory,SUA_2_95_77,IPBES,0
above-ground biomass,GA_2.2_37_70;GA_2.2_39_76;IPBES_GA2.2_sup_1,IPBES,0
above-ground biomass in forests,GBF_T8_CY_181;GA_2.3_39_137,GBF;IPBES,1
absence of conflict as indicator of political stability,GA_2_24_29,IPBES,0
absolute global forcing potential (agfp),IPCC_7_91_360,IPCC,0
absolute global temperature change potential (agtp),IPCC_7_91_360,IPCC,0
abundance and location of habitat,SUA_4_78_130,IPBES,0
abundance of food species,SUA_2_96_79,IPBES,0
abundance of managed and wild pollinators,GA_2.3_42_143,IPBES,0
abundance of preferred harvest species,SUA_2_97_80,IPBES,0
access to electricity,IPBES_GA2.1_sup_15,IPBES,0
access to improved sanitation facilities,GA_2_109_44;IPBES_GA2.1_sup_6,IPBES,0
access to land,SUA_4_149_137,IPBES,0
accessibility of resources,SUA_2_95_77,IPBES,0
accumulated cyclone energy (ace),IPCC_11_79_569,IPCC,0
accumulated seasonal heat,IPCC_12_14_594,IPCC,0
achievement of a circular economic system,GEO_17_20_212,GEO,0
activity status/viability of cms family of instruments,CMS_G1.3_4,CMS,1
adaptive capacity index (aci),GA_4_129_208,IPBES,0
additional financial resources mobilized for developing countries from multiple sources,SDG_G17.3.1_239,SDG,1
"adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",SDG_G3.7.2_43,SDG,1
advanced malaria control,GEO_22_21_257,GEO,0
adverse changes in woody or shrubby vegetation,GA_2.2_81_123,IPBES,0
adverse changes of unpalatable species,GA_2.2_81_123,IPBES,0
aerosol abundance,IPCC_2_24_45,IPCC,0
aerosol changes,IPCC_3_17_173,IPCC,0
aerosol index,IPCC_7_29_329,IPCC,0
age-standardized prevalence of current tobacco use among persons aged 15 years and older,SDG_G3.a.1_49,SDG,1
aggregated total applied toxicity,GBF_T7_H_25,GBF,1
agricultural emissions from different farming sectors,GEO_17_11_203,GEO,0
agricultural employment and landholders,GEO_3_10_20,GEO,0
agricultural export subsidies,SDG_G2.b.1_26;IPBES_SUA_sup_2.b.1_24,SDG;IPBES,1
agricultural land,IPBES_GA2.1_sup_30,IPBES,0
agricultural water withdrawal,IPBES_GA2.1_sup_58,IPBES,0
agriculture orientation index for government expenditures,SDG_G2.a.1_24;IPBES_SUA_sup_2.a.1_22,SDG;IPBES,1
agriculture-based materials produced (tons),GA_2.3_42_143,IPBES,0
agro-biodiversity,GEO_23_24_262,GEO,0
agrobiodiversity index,GBF_T10_CY_193,GBF,1
aid for trade commitments and disbursements,SDG_G8.a.1_115;IPBES_SUA_sup_8.a.1_57,SDG;IPBES,1
air departures,IPBES_GA2.1_sup_39,IPBES,0
air emission accounts,GBF_T11_CY_199,GBF,1
air moisture,IPCC_2_52_82,IPCC,0
air passengers,IPBES_GA2.1_sup_38,IPBES,0
air pollution,GA_2_83_42;IPBES_GA2.1_sup_44,IPBES,0
air pollution emissions account,GBF_GB_CY_62,GBF,1
air pollution exposure,GEO_5_19_45,GEO,0
air quality,GA_3_123_420;GEO_20_6_228,IPBES;GEO,0
air quality index,GBF_GB_CY_61;GEO_12_12_111,GBF;GEO,1
