indicators_harmonized,ga,sua,va,ias,ipbes,geo,ipcc,km_gbf,sdg,cites,cms,iccwc,ramsar,unccd,policy,indic,indic_ext,var_ext,ILK_ext,Categories,Categories_2,Subcategories,Subcategories_2
red list of ecosystems,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,ecosystems,NA,State of ecosystems,NA
extent of natural ecosystems,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,ecosystems,NA,State of ecosystems,NA
red list index,1,1,NA,1,1,1,NA,1,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,biodiversity,NA,State of biodiversity,NA
proportion of populations within species with a genetically effective population size > 500,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,biodiversity,NA,State of biodiversity,NA
services provided by ecosystems,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Ecosystem services,NA,Nature contribution,NA
indicator on monetary benefits received,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human assets,NA,Income,NA
indicator on non-monetary benefits,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human assets,NA,Income,NA
"international public funding, including official development assistance (oda) for conservation and sustainable use of biodiversity and ecosystems",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,National/international cooperation,NA
domestic public funding on conservation and sustainable use of biodiversity and ecosystems,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,Nature-based funding,NA
private funding (domestic and international) on conservation and sustainable use of biodiversity and ecosystems,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,Nature-based funding,NA
percent of land and seas covered by biodiversity-inclusive spatial plans,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,ecosystems,NA,Area conservation,NA
area under restoration,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,ecosystems,NA,Restoration efforts,NA
coverage of protected areas and oecms,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,ecosystems,NA,Area conservation,NA
proportion of fish stocks within biologically sustainable levels,1,1,NA,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,biodiversity,NA,State of biodiversity,NA
rate of invasive alien species establishment,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,Direct drivers,NA,Invasive alien species,NA
index of coastal eutrophication potential (icep),NA,1,NA,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,ecosystems,Direct drivers,State of ecosystems (integrity),Pollution
pesticide environment concentration,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Direct drivers,NA,Pollution,NA
benefits from the sustainable use of wild species,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Ecosystem services,NA,Specific mention of sustainable use of species/ecosystems,NA
percentage of the population in traditional employment,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,biodiversity,NA,Species conservation,Change in biodiversity
proportion of agricultural area under productive and sustainable agriculture,1,1,NA,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,Ecosystem services,NA,Specific mention of sustainable use of species/ecosystems,NA
progress towards sustainable forest management,NA,1,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,Ecosystem services,Nature-based legislation,Specific mention of sustainable use of species/ecosystems
average share of the built-up area of cities that is green/blue space for public use for all,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human well-being,NA,Healthy living conditions,NA
"number of companies reporting on disclosures of risks, dependencies and impacts on biodiversity",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Knowledge systems,NA,Information on biodiversity,NA
positive incentives in place to promote biodiversity conservation and sustainable use,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,Ecosystem services,Nature-based legislation,Specific mention of sustainable use of species/ecosystems
"value of subsidies and other incentives harmful to biodiversity, that are redirected, repurposed or eliminated",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,Nature-based funding,NA
indicator on biodiversity information for monitoring the global biodiversity framework,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Knowledge systems,NA,Information on biodiversity,NA
ecosystem intactness index,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,ecosystems,NA,State of ecosystems (integrity),NA
ecosystem integrity index,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,ecosystems,NA,State of ecosystems (integrity),NA
species habitat index,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,biodiversity,NA,State of biodiversity,NA
biodiversity habitat index,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,biodiversity,NA,State of biodiversity,NA
protected connected (protconn) index,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,ecosystems,NA,Area conservation,State of ecosystems (coverage)
protected area connectedness (parc-connectedness) index,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,ecosystems,NA,State of ecosystems (configuration),NA
evolutionarily distinct and globally endangered (edge),NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,biodiversity,NA,Genetic diversity,Species conservation
living planet index,1,1,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,ecosystems,NA,State of biodiversity,NA
change in the extent of water-related ecosystems over time,NA,1,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,ecosystems,NA,State of ecosystems,Change in ecosystems
red list index (for utilized species),1,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,biodiversity,Ecosystem services,State of biodiversity,Nature contribution
living planet index (for used species),NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,ecosystems,Ecosystem services,State of biodiversity,Nature contribution
priority retention of intact / wilderness areas,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,ecosystems,NA,State of ecosystems (integrity),NA
maintenance and restoration of connectivity of natural ecosystems,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,ecosystems,NA,Restoration efforts,NA
protected area coverage of key biodiversity areas,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,ecosystems,NA,Area conservation,NA
protected area management effectiveness (pame),1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,ecosystems,Governance,Area conservation,Nature-based legislation
connectivity indicator,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,ecosystems,NA,State of ecosystems (configuration),NA
number of protected areas that have completed a site-level assessment of governance and equity (sage),NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,ecosystems,NA,Area conservation,NA
species protection index,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,biodiversity,NA,Species conservation,NA
number of plant and animal genetic resources secured in medium or long-term conservation facilities,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,biodiversity,NA,Genetic resources,NA
trends in effective and sustainable management of human-wildlife conflict and coexistence,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,Nature-based legislation,NA
green status of species index,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,biodiversity,NA,State of biodiversity,NA
conservation status of species listed in the cites appendices has stabilized or improved,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,ecosystems,NA,Species conservation,NA
sustainable use of wild species,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Ecosystem services,NA,Specific mention of sustainable use of species/ecosystems,NA
rate of invasive species impact and rate of impact,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Direct drivers,NA,Invasive alien species,NA
rate of invasive alien species spread,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Direct drivers,NA,Invasive alien species,NA
number of invasive alien species introduction events,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,Direct drivers,NA,Invasive alien species,NA
fertilizer use,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,Direct drivers,NA,Pollution,NA
proportion of domestic and industrial wastewater flows safely treated,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human assets,NA,Infrastructure (build-up area),NA
floating plastic debris density,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,ecosystems,Direct drivers,State of ecosystems (integrity),Pollution
red list index (impacts of pollution),1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,biodiversity,Direct drivers,State of biodiversity,Pollution
total climate regulation services provided by ecosystems by ecosystem type (system of environmental economic accounts),NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Ecosystem services,NA,Nature contribution,NA
number of countries that adopt and implement national disaster risk reduction strategies in line with the sendai framework for disaster risk reduction 2015-2030 which include biodiversity,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,Nature-based legislation,NA
national greenhouse inventories from land use and land use change,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Direct drivers,NA,Climate change,NA
bioclimatic ecosystem resilience index (beri),NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,ecosystems,NA,State of biodiversity,NA
