odd,indicator_harmonized,indic_ids,sources,policy,Categories,Subcategories,Categories_2,Subcategories_2,sources_old
,1-in-100-year return period level (etwl),IPCC_sup_52,IPCC,0,ecosystems,Abiotic conditions,Direct drivers,Climate change,
,10-day cumulative precipitation,IPCC_12_17_597,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,15n/14n isotope ratio,IPCC_5_36_279,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,2 m air temperatures,IPCC_12_15_596,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,ability of ecosystems to absorb and buffer hazards,GA_2.3_42_143,IPBES,0,Ecosystem services,Nature contribution,NA,NA,IPBES
,ability of learning through direct proximity of people with nature in biodiversity-rich landscapes or agroecosystems,IPBES_GA2.3_sup_240,IPBES,0,Human assets,Coverage of basic needs,NA,NA,IPBES
,abnormal occurrences in the territory,SUA_2_95_77,IPBES,0,Knowledge systems,Specific information on ILK and IPLC,Knowledge systems,Specific information on human-nature relationship,IPBES
,above-ground biomass,GA_2.2_37_70;GA_2.2_39_76;IPBES_GA2.2_sup_1,IPBES,0,ecosystems,State of ecosystems,NA,NA,IPBES
,above-ground biomass in forests,GA_2.3_39_137,IPBES,0,ecosystems,State of ecosystems,NA,NA,IPBES
x,above-ground biomass stock in forest,,GBF,1,ecosystems,State of ecosystems (coverage),NA,NA,GBF
,absence of conflict as indicator of political stability,GA_2_24_29; GBF_T8_CY_179,IPBES;GBF,0,Knowledge systems,Information on society and socio-economics,NA,NA,IPBES
,"absolute damage to roads and transportation, power plant,etc",IPBES_GA2.3_sup_98,IPBES,0,Human assets,Infrastructure (build-up area),NA,NA,IPBES
,absolute global forcing potential (agfp),IPCC_7_91_360,IPCC,0,Direct drivers,Climate change,NA,NA,IPCC
,absolute global temperature change potential (agtp),IPCC_7_91_360,IPCC,0,Direct drivers,Climate change,NA,NA,IPCC
,abundance and location of habitat,SUA_4_78_130,IPBES,0,ecosystems,State of ecosystems,NA,NA,IPBES
,abundance of alternative hosts species,IPBES_GA2.3_sup_109,IPBES,0,biodiversity,State of biodiversity,NA,NA,IPBES
,abundance of competent hosts of vector-born and zoonotic diseases,IPBES_GA2.3_sup_118,IPBES,0,biodiversity,State of biodiversity,NA,NA,IPBES
,abundance of food species,SUA_2_96_79,IPBES,0,Ecosystem services,Nature contribution,NA,NA,IPBES
,abundance of managed and wild pollinators,GA_2.3_42_143;IPBES_GA2.3_sup_8,IPBES,0,biodiversity,State of biodiversity,NA,NA,IPBES
