indicator_harmonized,indic_ids,sources
1-in-100-year return period level (etwl),IPCC_sup_52,IPCC
10-day cumulative precipitation,IPCC_12_17_597_336,IPCC
15n/14n isotope ratio,IPCC_5_36_279_198,IPCC
2 m air temperatures,IPCC_12_15_596_334,IPCC
ability of ecosystems to absorb and buffer hazards,IPBES_GA_2.3_42_143_309,IPBES
abnormal occurrences in the territory,IPBES_SUA_2_95_77_24,IPBES
above-ground biomass,IPBES_GA_2.2_37_70_157;IPBES_GA_2.2_39_76_211;IPBES_GA2.2_sup_1,IPBES
above-ground biomass in forests,IPBES_GA_2.3_39_137_270,IPBES
absence of conflict as indicator of political stability,IPBES_GA_2_24_29_97,IPBES
absolute global forcing potential (agfp),IPCC_7_91_360_228,IPCC
absolute global temperature change potential (agtp),IPCC_7_91_360_230,IPCC
abundance and location of habitat,IPBES_SUA_4_78_130_60,IPBES
abundance of food species,IPBES_SUA_2_96_79_25,IPBES
abundance of managed and wild pollinators,IPBES_GA_2.3_42_143_293,IPBES
abundance of preferred harvest species,IPBES_SUA_2_97_80_42,IPBES
access to electricity,IPBES_GA2.1_sup_15,IPBES
access to improved sanitation facilities,IPBES_GA_2_109_44_115;IPBES_GA2.1_sup_6,IPBES
access to land,IPBES_SUA_4_149_137_66,IPBES
accessibility of resources,IPBES_SUA_2_95_77_21,IPBES
accumulated cyclone energy (ace),IPCC_11_79_569_326,IPCC
accumulated seasonal heat,IPCC_12_14_594_332,IPCC
achievement of a circular economic system,GEO_17_20_212_184,GEO
adaptive capacity index (aci),IPBES_GA_4_129_208_373,IPBES
advanced malaria control,GEO_22_21_257_240,GEO
adverse changes in woody or shrubby vegetation,IPBES_GA_2.2_81_123_247,IPBES
adverse changes of unpalatable species,IPBES_GA_2.2_81_123_248,IPBES
aerosol abundance,IPCC_2_24_45_45,IPCC
aerosol changes,IPCC_3_17_173_142,IPCC
aerosol index,IPCC_7_29_329_215,IPCC
agricultural emissions from different farming sectors,GEO_17_11_203_175,GEO
agricultural employment and landholders,GEO_3_10_20_29,GEO
agricultural export subsidies,IPBES_SUA_sup_2.b.1_24,IPBES
agricultural land,IPBES_GA2.1_sup_30,IPBES
agricultural water withdrawal,IPBES_GA2.1_sup_58,IPBES
agriculture orientation index for government expenditures,IPBES_SUA_sup_2.a.1_22,IPBES
agriculture-based materials produced (tons),IPBES_GA_2.3_42_143_330,IPBES
agro-biodiversity,GEO_23_24_262_244,GEO
aid for trade commitments and disbursements,IPBES_SUA_sup_8.a.1_57,IPBES
air departures,IPBES_GA2.1_sup_39,IPBES
air moisture,IPCC_2_52_82_89,IPCC
air passengers,IPBES_GA2.1_sup_38,IPBES
air pollution,IPBES_GA_2_83_42_113;IPBES_GA2.1_sup_44,IPBES
air pollution exposure,GEO_5_19_45_55,GEO
air quality,IPBES_GA_3_123_420_495;GEO_20_6_228_197,IPBES;GEO
air quality index,GEO_12_12_111_99,GEO
alcohol use,GEO_21_17_251_224,GEO
alien species,IPBES_GA_2_118_47_123,IPBES
alien species occurrence,IPBES_IAS_6_114_165_76,IPBES
alien species richness,IPBES_GA_2_83_42_114;IPBES_IAS_3_8_84_23,IPBES
altering of the carbon and biogeochemical cycles,GEO_2_26_7_14,GEO
alternative and nuclear energy (percentage of total energy use),IPBES_GA2.1_sup_16,IPBES
amend policies that lead to destruction of mangroves,GEO_17_8_200_168,GEO
amoc,IPCC_1_70_30_38,IPCC
amount in united states dollars committed to public-private partnerships for infrastructure,IPBES_SUA_sup_17.17.1_153,IPBES
amount of fossil-fuel subsidies per unit of gross domestic product (production and consumption),IPBES_SUA_sup_12.c.1_101,IPBES
amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan,IPBES_SUA_sup_6.a.1_37,IPBES
amounts provided and mobilized in united states dollars per year in relation to the continued existing collective mobilization goal of the $100 billion commitment through to 2025,IPBES_SUA_sup_13.a.1_108,IPBES
animal behavior,IPBES_GA_2.3_40_140_276,IPBES
annual count of days when precipitation is greater than or equal to 10 mm,IPCC_sup_24,IPCC
annual count of days when precipitation is greater than or equal to 20 mm,IPCC_sup_25,IPCC
annual count of days when precipitation is greater than or equal to 5 mm,IPCC_sup_23,IPCC
annual count of days when precipitation is greater than or equal to 50 mm,IPCC_sup_26,IPCC
annual growth rate of real gross domestic product,IPBES_SUA_sup_8.1.1_44,IPBES
annual growth rate of real gross domestic product per employed person,IPBES_SUA_sup_8.2.1_45,IPBES
annual gsat change,IPCC_1_50_21_19,IPCC
annual ice volume,IPCC_1_50_21_20,IPCC
annual mean levels of fine particulate matter in cities,IPBES_SUA_sup_11.6.2_83,IPBES
annual mean wind speed,IPCC_sup_50,IPCC
annual precipitation amount when the daily precipitation exceeds the 99th percentile of the wet-day precipitation,IPCC_sup_30,IPCC
annual precipitation from daily precipitation > 95th percentile (r95p),IPCC_11_53_541_292,IPCC
annual rate of net forest loss,IPBES_GA_3_27_356_438;IPBES_GA_3_27_356_439,IPBES
annual total precipitation when the daily precipitation exceeds the 95th percentile of the wet-day (>1 mm) precipitation,IPCC_sup_29,IPCC
annular mode index,IPCC_4_51_251_189,IPCC
antarctic ice cores,IPCC_1_13_4_1,IPCC
antarctic ice sheet loss,IPCC_7_55_334_218,IPCC
anthropogenic emissions of long-lived greenhouse gases (co2 equivalents),GEO_12_15_115_103,GEO
anthropogenic emissions of long-lived greenhouse gases (ghg emissions),GEO_12_18_121_110,GEO
antimicrobial resistence in pathogens,GEO_4_15_35_43,GEO
appearance of new grass in grazing areas,IPBES_VA_3_6_54_43,IPBES
arctic sea ice area,IPCC_4_7_219_169;IPCC_9_37_433_258,IPCC
arctic species trend index,IPBES_GA_3_169_443_503;GEO_6_24_60_81,IPBES;GEO
"area and percent of forests managed primarily to protect the range of cultural, social and spiritual needs and values",IPBES_SUA_2_92_69_12,IPBES
area and percent of forests used for subsistence purposes,IPBES_SUA_2_92_69_14,IPBES
area of agricultural land under conservation,IPBES_GA_1_52_19_62;IPBES_GA_3_15_329_431;IPBES_GA3_sup_28,IPBES
area of agricultural land under organic production,IPBES_GA_3_15_329_430;IPBES_GA2.1_sup_34;IPBES_GA3_sup_27,IPBES
area of floodplain wetlands,IPBES_GA_2.3_39_137_267,IPBES
area of forest under sustainable management,IPBES_GA_3_72_395_477;IPBES_GA3_sup_29,IPBES
area of natural and traditional landscapes and seascapes,IPBES_GA_2.3_42_143_343,IPBES
areas below calcium carbonate saturation thresholds,IPCC_12_24_615_382,IPCC
arrival of new native and alien species,IPBES_GA_2.2_6_56_142,IPBES
associated species,IPBES_SUA_2_96_79_28,IPBES
atlantic meridional overturning circulation (amoc),IPCC_2_69_110_112;IPCC_4_8_220_170;IPCC_4_18_229_177,IPCC
