indicator_orig,indic_id,indicator_harmonized
greenhouse gas INDEX (National Oceanic and Atmospheric Administration),GEO_2_23_6_1,greenhouse gas index (national oceanic and atmospheric administration)
Glacier Mass balance,GEO_2_26_7_2,glacier mass balance
 Northern hemisphere (Mar-Apr) snow cover,GEO_2_26_7_3,northern hemisphere (mar-apr) snow cover
 specific humidity,GEO_2_26_7_4,specific humidity
 ocean acidification,GEO_2_26_7_5,ocean acidification
 annual global mean surface temperature,GEO_2_26_7_6,global mean surface temperature (gmst)
 sea surface temperature,GEO_2_26_7_7,sea surface temperature (sst)
 marine air temperature,GEO_2_26_7_8,marine air temperature
 sea level,GEO_2_26_7_9,sea level
 tropospheric temperature,GEO_2_26_7_10,tropospheric temperature
 ocean heat content and specific humidity,GEO_2_26_7_11,ocean heat content and specific humidity
 shrinking of the Arctic ice cover,GEO_2_26_7_12,shrinking of the arctic ice cover
 increase in the global mean sea level,GEO_2_26_7_13,increase in the global mean sea level
 altering of the carbon and biogeochemical cycles,GEO_2_26_7_14,altering of the carbon and biogeochemical cycles
 extent of ice cover,GEO_2_26_7_15,extent of ice cover
 Tropospheric temperature,GEO_2_26_7_16,tropospheric temperature
 sea surface air temperature,GEO_2_26_7_17,sea surface air temperature
 summer Arctic sea-ice extent,GEO_2_26_7_18,summer arctic sea ice extent
climate related loss events,GEO_2_28_8_19,climate related loss events
poverty,GEO_3_5_16_20,poverty
 zoonotic disease,GEO_3_5_16_21,zoonotic disease
 nutrition,GEO_3_5_16_22,nutrition
 life expectancy,GEO_3_5_16_23,life expectancy
 economic growth,GEO_3_5_16_24,economic growth
 inclusive societies,GEO_3_5_16_25,inclusive societies
 environmentally friendly policy processes,GEO_3_5_16_26,environmentally friendly policy processes
Normalized Difference Vegetation INDEX (NDVI),GEO_3_7_18_27,normalized difference vegetation index (ndvi)
gender-disaggregated agricultural Indices,GEO_3_10_20_28,gender-disaggregated agricultural indices
 agricultural employment and landholders,GEO_3_10_20_29,agricultural employment and landholders
 cross-natrional comparative information on access to and ownership of land,GEO_3_10_20_30,cross-natrional comparative information on access to and ownership of land
 sex-disaggregated burden-of-disease data,GEO_3_10_20_31,sex-disaggregated burden-of-disease data
underweight children,GEO_3_12_24_32,underweight children
 malnutrition,GEO_3_12_24_33,malnutrition
 food security,GEO_3_12_24_34,food security index
Global Human Settlement Layer (GHSL),GEO_3_14_30_35,global human settlement layer (ghsl)
sustainability and/or environmental themes as one of the general goals of education,GEO_4_9_33_36,sustainability and/or environmental themes as one of the general goals of education
 integration of education for sustainable development (ESD) in curricula,GEO_4_9_33_37,integration of education for sustainable development (esd) in curricula
 integration of education for sustainable development (ESD) in higher education,GEO_4_9_33_38,integration of education for sustainable development (esd) in higher education
loss of mass of mountain glaciers and polar ice sheets,GEO_4_13_34_39,loss of mass of mountain glaciers and polar ice sheets
 sea level rise,GEO_4_13_34_40,sea level rise
 mountain glaciers,GEO_4_13_34_41,mountain glaciers
 polar ice sheets,GEO_4_13_34_42,polar ice sheets
antimicrobial resistence in pathogens,GEO_4_15_35_43,antimicrobial resistence in pathogens
toxocological potential of nanoparticals,GEO_4_15_36_44,toxocological potential of nanoparticals
greenhouse gas emissions,GEO_4_20_39_45,greenhouse gas emissions
 global temperature increase,GEO_4_20_39_46,global temperature increase
measured concentrations of O in the upper stratospere,GEO_5_17_41_47,measured concentrations of o in the upper stratospere
 ODSs and GHGs,GEO_5_17_41_48,odss and ghgs
