indicator_orig,indicator_harmonized,indic_id,var_indic,ILK
Gross domestic product (GDP),gross domestic product,IPBES_GA_1_19_6,2,NA
 human development INDEX,human development index (hdi),IPBES_GA_1_19_6,2,NA
 inclusive wealth,inclusive wealth,IPBES_GA_1_19_6,2,NA
 gross national happiness index,gross national happiness index,IPBES_GA_1_19_6,2,NA
Human development index (HDI),human development index (hdi),IPBES_GA_1_31_9,2,NA
Ecological footprint,ecological footprint,IPBES_GA_1_52_19,2,NA
 Water footprint (Human appropriation of fresh water),water footprint,IPBES_GA_1_52_19,2,NA
 Percentage of category 1 nations in CITES,percentage of countries that are category 1 cites parties,IPBES_GA_1_52_19,2,NA
 Trends in forest extent (tree cover),trends in forest extent,IPBES_GA_1_52_19,2,NA
" Protected area coverage of Key Biodiversity Areas (including Important Bird and Biodiversity Areas, Alliance for Zero Extinction sites)",protected area coverage of key biodiversity areas,IPBES_GA_1_52_19,2,NA
 Total wood removals,total wood removals,IPBES_GA_1_52_19,2,NA
 Biodiversity Habitat Index,biodiversity habitat index,IPBES_GA_1_52_19,2,NA
 Species Habitat Index,species habitat index,IPBES_GA_1_52_19,2,NA
 Forest area as a percentage of total land area,forest area as a percentage of total land area,IPBES_GA_1_52_19,2,NA
 Trends in fisheries certified by the MSC,trends in fisheries certified by the msc,IPBES_GA_1_52_19,2,NA
 Estimated fisheries catch and fishing effort,estimated fisheries catch and fishing effort,IPBES_GA_1_52_19,2,NA
 Proportion of fish stocks within biologically sustainable levels,proportion of fish stocks within biologically sustainable levels,IPBES_GA_1_52_19,2,NA
 Inland fishery production,inland fishery production,IPBES_GA_1_52_19,2,NA
 Marine Trophic Index,marine trophic index (mti),IPBES_GA_1_52_19,2,NA
 Proportion of area of forest production under FSC and PEFC certification,proportion of area of forest production under fsc and pefc certification,IPBES_GA_1_52_19,2,NA
 Nitrogen use efficiency,nitrogen use efficiency,IPBES_GA_1_52_19,2,NA
 Nitrogen + Phosphate Fertilizers (N+P205 total nutrients),nitrogen + phosphate fertilizers (n+p205 total nutrients),IPBES_GA_1_52_19,2,NA
 Trends in pesticide use,trends in pesticide use,IPBES_GA_1_52_19,2,NA
 Trends in nitrogen deposition,trends in nitrogen deposition,IPBES_GA_1_52_19,2,NA
 Species protection index,species protection index,IPBES_GA_1_52_19,2,NA
 Protected area management effectiveness,protected area management effectiveness (pame),IPBES_GA_1_52_19,2,NA
 Protected Area Connectedness Index,protected area connectedness (parc-connectedness) index,IPBES_GA_1_52_19,2,NA
" Percentage of areas covered by protected areas- marine, coastal, terrestrial, inland water",protected area coverage,IPBES_GA_1_52_19,2,NA
 Biodiversity Intactness Index,biodiversity intactness index,IPBES_GA_1_52_19,2,NA
 Red list index,red list index,IPBES_GA_1_52_19,2,NA
 Species habitat index,species habitat index,IPBES_GA_1_52_19,2,NA
" Proportion of local breeds, classified as being at risk, not-at-risk or unknown level of risk of extinction",proportion of local breeds classified as being at risk of extinction,IPBES_GA_1_52_19,2,NA
 inland fishery production,inland fishery production,IPBES_GA_1_52_19,2,NA
 Percentage of undernourished people,percentage of undernourished people,IPBES_GA_1_52_19,2,NA
 Number of countries with developed or revised NBSAPs,number of countries with developed or revised nbsaps,IPBES_GA_1_52_19,2,NA
 Proportion of known species assessed through the IUCN red list,proportion of known species assessed through the red list index,IPBES_GA_1_52_19,2,NA
 species status index,species status index,IPBES_GA_1_52_19,2,NA
 Living planet index,living planet index,IPBES_GA_1_52_19,2,NA
" Number of countries with national instruments on biodiversity-relevant taxes, charges and fees","number of countries with national instruments on biodiversity relevant taxes, charges and fees",IPBES_GA_1_52_19,2,NA
 Number of countries with national instruments on REDD plus schemes,number of countries with national instruments on redd plus schemes,IPBES_GA_1_52_19,2,NA
 Trends in potentially harmful elements of government support to agriculture (produced support estimates),trends in potentially harmful elements of government support to agriculture (produced support estimates),IPBES_GA_1_52_19,2,NA
 Trends in potentially harmful elements of government support to fisheries,trends in potentially harmful elements of government support to fisheries,IPBES_GA_1_52_19,2,NA
 Number of countries with national instruments on biodiversity relevant tradable permit schemes,number of countries with national instruments on biodiversity relevant tradable permit schemes,IPBES_GA_1_52_19,2,NA
 Human appropriation of net primary productivity,human appropriation of net primary productivity,IPBES_GA_1_52_19,2,NA
 Trend in Carbon Intensity,trend in carbon intensity,IPBES_GA_1_52_19,2,NA
 Global climate risk Index,global climate risk index,IPBES_GA_1_52_19,2,NA
 Westland Extent Trend Index,wetland extent trends index,IPBES_GA_1_52_19,2,NA
 Global effort in bottom trawling,global effort in bottom-trawling,IPBES_GA_1_52_19,2,NA
 Number and coverage of stocks with adaptive management systems/plans,number and coverage of stocks with adaptive management systems/plans,IPBES_GA_1_52_19,2,NA
  Presence of regulations requiring recovery of depleted species,presence of regulations requiring recovery of depleted species,IPBES_GA_1_52_19,2,NA
