indicator_orig,indicator_harmonized,indic_id,var_indic,ILK
greenhouse gas INDEX (National Oceanic and Atmospheric Administration),greenhouse gas index (national oceanic and atmospheric administration),GEO_2_23_6,2,NA
Glacier Mass balance,glacier mass balance,GEO_2_26_7,2,NA
 Northern hemisphere (Mar-Apr) snow cover,northern hemisphere (mar-apr) snow cover,GEO_2_26_7,2,NA
 specific humidity,specific humidity,GEO_2_26_7,2,NA
 ocean acidification,ocean acidification,GEO_2_26_7,2,NA
 annual global mean surface temperature,global mean surface temperature (gmst),GEO_2_26_7,2,NA
 sea surface temperature,sea surface temperature (sst),GEO_2_26_7,2,NA
 marine air temperature,marine air temperature,GEO_2_26_7,2,NA
 sea level,sea level,GEO_2_26_7,2,NA
 tropospheric temperature,tropospheric temperature,GEO_2_26_7,2,NA
 ocean heat content and specific humidity,ocean heat content and specific humidity,GEO_2_26_7,2,NA
 shrinking of the Arctic ice cover,shrinking of the arctic ice cover,GEO_2_26_7,2,NA
 increase in the global mean sea level,increase in the global mean sea level,GEO_2_26_7,2,NA
 altering of the carbon and biogeochemical cycles,altering of the carbon and biogeochemical cycles,GEO_2_26_7,2,NA
 extent of ice cover,extent of ice cover,GEO_2_26_7,2,NA
 Tropospheric temperature,tropospheric temperature,GEO_2_26_7,2,NA
 sea surface air temperature,sea surface air temperature,GEO_2_26_7,2,NA
 summer Arctic sea-ice extent,summer arctic sea ice extent,GEO_2_26_7,2,NA
climate related loss events,climate related loss events,GEO_2_28_8,1,NA
poverty,poverty,GEO_3_5_16,1,NA
 zoonotic disease,zoonotic disease,GEO_3_5_16,1,NA
 nutrition,nutrition,GEO_3_5_16,1,NA
 life expectancy,life expectancy,GEO_3_5_16,1,NA
 economic growth,economic growth,GEO_3_5_16,1,NA
 inclusive societies,inclusive societies,GEO_3_5_16,1,NA
 environmentally friendly policy processes,environmentally friendly policy processes,GEO_3_5_16,1,NA
Normalized Difference Vegetation INDEX (NDVI),normalized difference vegetation index (ndvi),GEO_3_7_18,1,NA
gender-disaggregated agricultural Indices,gender-disaggregated agricultural indices,GEO_3_10_20,2,NA
 agricultural employment and landholders,agricultural employment and landholders,GEO_3_10_20,2,NA
 cross-natrional comparative information on access to and ownership of land,cross-natrional comparative information on access to and ownership of land,GEO_3_10_20,2,NA
 sex-disaggregated burden-of-disease data,sex-disaggregated burden-of-disease data,GEO_3_10_20,2,NA
underweight children,underweight children,GEO_3_12_24,1,NA
 malnutrition,malnutrition,GEO_3_12_24,1,NA
 food security,food security index,GEO_3_12_24,1,NA
Global Human Settlement Layer (GHSL),global human settlement layer (ghsl),GEO_3_14_30,2,NA
sustainability and/or environmental themes as one of the general goals of education,sustainability and/or environmental themes as one of the general goals of education,GEO_4_9_33,2,NA
 integration of education for sustainable development (ESD) in curricula,integration of education for sustainable development (esd) in curricula,GEO_4_9_33,2,NA
 integration of education for sustainable development (ESD) in higher education,integration of education for sustainable development (esd) in higher education,GEO_4_9_33,2,NA
