indicator_orig,indicator_harmonized,indic_id,var_indic,ILK
Antarctic ice cores,antarctic ice cores,IPCC_1_13_4_1,2,NA
 direct CO2 air measurements,direct co2 air measurements,IPCC_1_13_4_2,2,NA
 Global Precipitation Climatology Centre (GPCC) V8,global precipitation climatology centre (gpcc) v8,IPCC_1_13_4_3,2,NA
 glacier mass loss,glacier mass loss,IPCC_1_13_4_4,2,NA
 global surface air temperature (GMST),global mean surface temperature (gmst),IPCC_1_13_4_5,2,NA
 sea level change,sea level change,IPCC_1_13_4_6,2,NA
 ocean heat content,ocean heat content,IPCC_1_13_4_7,2,NA
atmospheric CO2 concentrations,atmospheric co2 concentrations,IPCC_1_16_6_8,2,NA
 global mean surface temperature (GMST),global mean surface temperature (gmst),IPCC_1_16_6_9,2,NA
 global mean sea level (GMSL),global mean sea level (gmsl),IPCC_1_16_6_10,2,NA
pH of ocean surface water,ph of ocean surface water,IPCC_1_32_16_11,1,NA
global energy budget,global energy budget,IPCC_1_38_17_12,2,NA
simulated Global mean surface air temperature (GSAT),simulated global mean surface air temperature (gsat),IPCC_1_45_19_13,1,NA
 simulated Global mean surface air temperature (GSAT) anomalies,simulated global mean surface air temperature (gsat) anomalies,IPCC_1_45_19_14,1,NA
  estimate of GSAT (ERA-5),estimate of gsat (era-5),IPCC_1_45_19_15,1,NA
 observation-based estimate of global mean surface air temperature (GMST),global mean surface temperature (gmst),IPCC_1_45_19_16,1,NA
 mean GSAT,mean gsat,IPCC_1_45_19_17,1,NA
global mean surface temperature (GMST),global mean surface temperature (gmst),IPCC_1_47_20_18,1,NA
annual GSAT change,annual gsat change,IPCC_1_50_21_19,1,NA
 annual ice volume,annual ice volume,IPCC_1_50_21_20,1,NA
 September sea ice extent,september sea ice extent,IPCC_1_50_21_21,1,NA
global temperature,global temperature,IPCC_1_58_23_22,2,NA
 cumulative GHG emissions,cumulative ghg emissions,IPCC_1_58_23_23,2,NA
economic damages due to river floods,economic damages due to river floods,IPCC_1_62_25_24,1,NA
  occurrence of heat-related human mortality,occurrence of heat-related human mortality,IPCC_1_62_25_25,1,NA
 economic inequality,economic inequality,IPCC_1_62_25_26,1,NA
Essential Climate Variables (ECVs),essential climate variables (ecvs),IPCC_1_64_26_27,1,NA
 Essential Ocean Variables (EOVs),essential ocean variables (eovs),IPCC_1_64_26_28,1,NA
leaf area INDEX,leaf area index (lai),IPCC_1_66_27_29,2,NA
 fraction of absorbed photosynthetically active radiation (FAPAR),fraction of absorbed photosynthetically active radiation (fapar),IPCC_1_66_27_30,2,NA
 fire disturbances/burned areas,fire disturbances/burned areas,IPCC_1_66_27_31,2,NA
Time series of Normalized Difference Vegetation INDEX (NDVI),time series of normalized difference vegetation index (ndvi),IPCC_1_67_28_32,2,NA
Northern Hemisphere temperature over the last millennium,northern hemisphere temperature over the last millennium,IPCC_1_67_29_33,1,NA
ocean heat content,ocean heat content,IPCC_1_70_30_34,2,NA
 thermosteric sea level,thermosteric sea level,IPCC_1_70_30_35,2,NA
 salinity,salinity,IPCC_1_70_30_36,2,NA
 sea ice extent,sea ice extent,IPCC_1_70_30_37,2,NA
 AMOC,amoc,IPCC_1_70_30_38,2,NA
Atmospheric concentrations,atmospheric co2 concentrations,IPCC_1_92_33_39,1,NA
 global temperatures,global temperatures,IPCC_1_92_33_40,1,NA
Global mean surface temperature (GMST),global mean surface temperature (gmst),IPCC_2_8_35_41,2,NA
