indic_id,chapter,page,paragraph
GEO6_1_1,1,10,"Although the SDGs link the environment much more closely to other development areas, they do not comprehensively represent the global environmental agenda (Wackernagel, Hanscom and Lin 2017). Some important environmental problems are not well reflected in the SDGs, such as mining and natural resource extraction, and the links between gender and the environment (e.g. indoor air pollution from cooking; Elder and Zusman 2016). The climate goal (SDG 13) does not have a target or INDICATOR directly related to the state of the climate, although it references the Paris Agreement, which does have such a target. Moreover, the environmental INDICATORs are not as well developed as those for other areas, and there is less data available to quantify their impacts and/ or progress towards achieving the related targets. Many targets have several dimensions, and often the dimension related to the environment is not included in the INDICATOR(s). The SDGs address the goals of many MEAs, although few of the many IAEGs are directly mentioned in the SDGs."
GEO6_1_2,1,10,"The target and INDICATOR-based approach, which was a key innovation of the MDGs, was also used by the SDGs, as well as by the Strategic Plan for Biodiversity 2011-2020, including the Aichi Biodiversity Targets developed under the CBD (Kanie and Biermann eds. 2017). Many felt that this approach made an important contribution to the MDGs’ relative success in mobilizing action and support, although it also has some disadvantages (Fukuda-Parr, Yamin and Greenstein 2014). If this approach is implemented broadly in line with the spirit and language of the SDGs, and not in a narrow instrumental manner, then implementation and accountability may be strengthened (Biermann, Kanie and Kim 2017). Another major innovation for the SDGs and the Paris Agreement is that each country agreed to translate the global goals and targets into national targets and INDICATORs; however, this will introduce the challenge/opportunity of accounting for progress."
GEO6_10_1,10,2,"Policies are crucial in determining and improving the state of our environment. A simple way to think about policy and policy instruments is that a policy is a statement of intent to change behaviour in a positive way, while an instrument is the means or a specific measure to translate that intent into action (Mees et al. 2014). Therefore, discussion of effectiveness of environmental policies means addressing both aspects. Goal setting (including targets, INDICATORs and time frames) is an important step towards legitimization of environmental policies. Execution of the policy instruments is through effective governance. Governance is “the process whereby societies or organizations make important decisions, determine whom they involve and how they render account” (United Nations Economic and Social Council 2006). The recently adopted Sustainable Development Goals (SDGs) give a new impetus to ‘governing through goals’ (Yoshida and Zusman 2015)."
GEO6_10_2,10,5,"1. To showcase policies and governance approaches at all levels that have demonstrated an impact and that can potentially be applied elsewhere. 2. To identify needs for further action by improving the effectiveness of policies. The analysis builds as much as possible on quantification of policy effectiveness (i.e. INDICation of how much/how often policies do have an effect, not only how and why). 3. To establish methods and best available knowledge for assessing policy effectiveness that can be used beyond GEO-6 for improving the evidence base of policymaking and thereby strengthen environmental policies."
GEO6_10_3,10,5,DPSIR (including typical INDICATORs Top-down methodology
GEO6_10_4,10,5,"Attributing causality to policies in often extensive and complex causal chains from policy, through its implementation, to behavioural changes and processes that are triggered, to impacts, indirect and induced impacts, is a particular challenge for policy evaluation (Forss, Marra and Schwartz eds. 2011). A conceptual approach was adopted in Part B of this report which aims to minimize the problem of attribution by combining a top-down and a bottom-up perspective (Sabatier 1986). The top-down perspective shown in Figure 10.1 starts with the policy and traces the causal chains that are expected from the implementation of the policy. The bottom-up perspective starts from the observed outcomes and uses policy- relevant INDICATORs to trace the causalities back to the policy interventions. This helps analysts to evaluate the effects of policy mixes. Both perspectives have their shortcomings – the top-down perspective tends to overemphasize the impacts of policies compared to other factors, the bottom-up perspective tends to overemphasize the impacts of contextual factors. effectiveness: top-down and bottom-up approach problem PART A responses) Bottom-up methodology What was the Which INDICATORs policy type that are most useful was selected for for monitoring the speciﬁc case the effectiveness study, and why? of policy PART B implementation?"
GEO6_10_5,10,5,Table 10.1 Policy relevant Policy typology INDICATORs POLICY TYPES INDICATORS base
GEO6_10_6,10,6,"The bottom-up evaluation, based on policy-relevant INDICATORs, complements the analysis and contributes in particular to the quantification and the identification of needs for further action (goal 2 of the evaluation). The methods for each approach are further elaborated in the following sections. Figure 10.1 graphically summarizes how to assess policy effectiveness through these top-down and bottom-up evaluations. 10.6 Top-down evaluation methodology The top-down evaluation of policy effectiveness in GEO- 6 starts with the selection of policies and governance arrangements and associated cases. For each thematic area, up to five promising policy types or governance arrangements are selected by considering the coverage of the variety of policy types and governance arrangements, geographical diversity and the availability of data."
GEO6_10_7,10,6,"Next, for each policy type or governance arrangement selected and evaluated, a case exemplifying the implementation of the policy is chosen and assessed in terms of policy effectiveness according to a common research protocol covering the achievement of stated objectives or improvement of relevant INDICATORs, the quality criteria of policy formulation and implementation (e.g. level of participation), ex ante or ex post assessments and the contextual requirements for the effectiveness."
GEO6_10_8,10,6,"The criteria for assessing the cases are derived from the literature on policy design and effectiveness. They are not prescriptive in terms of methods, data, policy instruments or causal chains, but on each aspect the relevant knowledge from the literature is presented. As all case studies are based on secondary data analysis, the research protocol necessarily leaves discretion to be adapted. For example, evaluation studies may be based on measuring effectiveness against the stated goal of policymakers, against an INDICATOR, against a control group or against a counterfactual scenario. The research protocol does not prescribe one or the other method for assessment, but provides transparency on the underlying methods, theories and data sources of the individual case study."
GEO6_10_9,10,7,"10.7 Bottom-up evaluation methodology An INDICATOR-based assessment of policy-sensitive/policy- relevant INDICATORs for each thematic area and cross-cutting issue complements the top-down evaluation and provides evidence on the quantification of policy effectiveness (Hezri and Dovers 2006; Bauler 2012; Moldan, Janoušková and Hák 2012). INDICATORs are constructed to measure the state of complex systems which may not be observed directly or comprehensively. They measure certain aspects and based on theoretical considerations and/or evidence, conclusions can be drawn regarding the state of the overall system. For the purpose of measuring policy effectiveness, it is necessary to be explicit on the theory regarding how policies and the selected INDICATOR interact."
GEO6_10_10,10,7,"INDICATORs that provide insights to the state of ecological or economic systems and their environmental performance are in many cases not directly influenced by policies. Instead, cultural, structural, political, geographical and other factors may intervene. Measuring the policy outputs (e.g. adoption of policy instruments) would not adequately capture the preferences of different countries for one or another instrument. For example, for mitigating greenhouse gas (GHG) emissions, one country may regulate emissions, another imposes taxes or emission trading schemes, a third implements information campaigns or subsidizes climate-friendly technologies. In each of these cases, the expected impact will be reducing emissions of GHGs. The INDICATOR is influenced, however, by the industrial structure, natural conditions, level of income and other factors that are not, or not directly, impacted by (environmental) policies."
