indic_id,chapter,page,paragraph
AR6_WG1_1_1,1,9,"naturally forced changes (Chapter 3, Sections 1.2.1.1 and 1.4.1, and the Cross-Working Group Box on Attribution). The core assessment conclusions from previous IPCC reports are confirmed or strengthened in this report, INDICating the robustness of our understanding of the primary causes and consequences of anthropogenic climate change."
AR6_WG1_1_2,1,13,"system have continued, and these are assessed in full in later chapters. Here, we summarize changes to a set of key large-scale climate INDICATORs over the modern era (1850 to present). We also discuss the changes in relation to the longer-term evolution of the climate. These ongoing changes throughout the climate system form a key part of the context of the present Report."
AR6_WG1_1_3,1,13,1.2.1.1 Recent Changes in Multiple Climate INDICATORs
AR6_WG1_1_4,1,13,"Figure 1.4 documents that the climate system is undergoing a comprehensive set of changes. It shows a selection of key INDICATORs of change through the instrumental era that are assessed and presented in the subsequent chapters of this report. Annual mean values are shown as stripes, with colours INDICating their value. The transitions from one colour to another over time illustrate how conditions are shifting in all components of the climate system. For these particular INDICATORs, the observed changes go beyond the yearly and decadal variability of the climate system. In this Report, this is termed an ‘emergence’ of the climate signal (Section 1.4.2 and FAQ 1.2)."
AR6_WG1_1_5,1,14,"The hydrological (or water) cycle is also changing and is assessed to be intensifying, through a higher exchange of water between the surface and the atmosphere (Sections 2.3 and 8.3). The resulting regional patterns of changes to precipitation are, however, different from surface temperature change, and interannual variability is larger, as illustrated in Figure 1.4. Annual land area mean precipitation in the Northern Hemisphere temperate regions has increased, while the subtropical dry regions have experienced a decrease in precipitation in recent decades (Section 2.3). The cryosphere is undergoing rapid changes, with increased melting and loss of frozen water mass in most regions. This includes all frozen parts of the globe, such as terrestrial snow, permafrost, sea ice, glaciers, freshwater ice, solid precipitation, and the ice sheets covering Greenland and Antarctica (Chapter 9; SROCC, IPCC, 2019b). Figure 1.4 illustrates how, globally, glaciers have been increasingly losing mass for the last fifty years. The total glacier mass in the most recent decade (2010–2019) was the lowest since the beginning of the 20th century (Sections 2.3 and 9.5). The global ocean has warmed unabatedly since at least 1970 (Sections 1.3, 2.3 and 9.2; SROCC, IPCC, 2019b). Figure 1.4 shows how the averaged ocean heat content is steadily increasing, with a total increase of [0.28 to 0.55] yottajoule (YJ; 10 24 joule) between 1971 and 2018 (Section 9.2). In response to this ocean warming, as well as to the loss of mass from glaciers and ice sheets, the global mean sea level (GMSL) has risen by 0.20 [0.15 to 0.25] metres between 1900 and 2018. GMSL rise has accelerated since the late 1960s (see Section 9.6). Overall, the changes in these selected climatic INDICATORs have progressed beyond the range of natural year-to-year variability (Chapters 2, 3, 8 and 9, and Sections 1.2.1.2 and 1.4.2). The INDICATORs presented in Figure 1.4 document a broad set of concurrent and emerging changes across the physical climate system. All INDICATORs shown here, along with many others, are further presented in the coming chapters, together with a rigorous assessment of the supporting scientific literature. Later chapters (Chapters 10, 11, 12 and Atlas) present similar assessments at the regional level, where observed changes do not always align with the global mean picture shown here."
AR6_WG1_1_6,1,16,"This establishes an essential long-term context for the climate change of the past 150 years and the projected changes in the 21st century and beyond (Chapter 3; IPCC, 2013a; Masson-Delmotte et al., 2013). Figure 1.5 shows reconstructions of three key INDICATORs of climate change over the past 800,000 years (800 kyr) 2 – atmospheric CO concentrations, global mean surface temperature (GMST) and global mean sea level (GMSL) – comprising at least eight complete glacial–interglacial cycles (EPICA Community Members, 2004; Jouzel et al., 2007), which are largely driven by oscillations in the Earth’s orbit and consequent feedbacks on multi-millennial time scales (Berger, 1978; Laskar et al., 1993). The dominant cycles – recurring approximately every 100 kyr – can be found imprinted in the natural variations of these three key INDICATORs. Before industrialisation, atmospheric CO concentrations varied between 174 ppm and 300 ppm, as measured directly in air trapped in ice at Dome Concordia, Antarctica (Bereiter et al., 2015; Nehrbass-Ahles et al., 2020). Relative to 1850–1900 CE, the reconstructed GMST changed in the range of –6°C to +1°C across these glacial–interglacial cycles (see Chapter 2, Section 2.3.1 for an assessment of different paleo-reference periods). GMSL varied between about –130 m during the coldest glacial maxima and +5 to +25 m during the warmest interglacial periods (Chapter 2; Spratt and Lisiecki, 2016). They represent the amplitudes of natural, global-scale climate variations over the last 800 kyr prior to the influence of human activity. Further climate information from a variety of paleoclimatic archives is assessed in Chapters 2, 5, 7 and 9."
AR6_WG1_1_7,1,16,"Paleoclimatic information also provides a long-term perspective on rates of change of these three key INDICATORs. In high-resolution reconstructions from polor ice cores, the rate of increase in atmospheric CO observed over 1919–2019 CE is one order of magnitude higher than the fastest CO fluctuations documented during the Last Glacial Maximum and the last deglacial transition (Marcott et al., 2014, see Chapter 2, Section 2.2.3.2.1). Current multi- decadal GMST exhibit a higher rate of increase than over the past 2 kyr (Section 2.3.1.1.2; PAGES 2k Consortium, 2019), and in the 20th century GMSL rise was faster than during any other century over the past 3 kyr (Section 2.3.3.3)."
AR6_WG1_1_8,1,16,"Paleoclimate records also show centennial- to millennial-scale variations, particularly during the ice ages, which INDICate rapid or abrupt changes of the Atlantic Meridional Overturning Circulation (AMOC; Section 9.2.3.1) and the occurrence of a ‘bipolar seesaw’ (opposite-phase surface temperature changes in both hemispheres; Section 2.3.3.4.1; Stocker and Johnsen, 2003; EPICA Community Members, 2006; WAIS Divide Project Members et al., 2015; Lynch- Stieglitz, 2017; Pedro et al., 2018; Weijer et al., 2019). This process suggests that instabilities and irreversible changes could be triggered if critical thresholds are passed (Section 1.4.4.3). Several other processes involving instabilities are identified in climate models (Drijfhout et al., 2015), some of which may now be close to critical thresholds (Section 1.4.4.3; see also Chapters 5, 8 and 9 regarding tipping points; Joughin et al., 2014)."
AR6_WG1_1_9,1,16,"Based on Figure 1.5, the reconstructed, observed and projected ranges of changes in the three key INDICATORs can be compared. By the first decade of the 20th century, atmospheric CO concentrations had already moved outside the reconstructed range of natural variation"
AR6_WG1_1_10,1,25,"Throughout IPCC reports, the calibrated language INDICating a formal confidence). Where appropriate, findings can also be formulated"
AR6_WG1_1_11,1,25,"Likelihood can INDICate probabilities for single events or broader or modelling analyses, other quantitative analyses, or expert elicitation. present probability more precisely than can be done with the likelihood percentile ranges, including quantification of tails of distributions, Mach et al., 2017). In some instances, multiple combinations of"
