indicator_orig,indicator_harmonized,indic_id,var_indic,ILK
IUCN Red List of Threatened Species,red list index,IPBES_SUA_1_1_1,2,NA
GDP,gross domestic product,IPBES_SUA_1_11_4,2,NA
Human Development Index,human development index (hdi),IPBES_SUA_1_12_5,2,NA
 Inclusive Wealth,inclusive wealth,IPBES_SUA_1_12_5,2,NA
 Gross National Happiness Index,gross national happiness index,IPBES_SUA_1_12_5,2,NA
IUCN Red List of threatened species,red list index,IPBES_SUA_1_22_10,2,NA
number of countries with policies to secure that [fish] mortalities are accounted for and kept within safe biological limits,number of countries with policies to secure that [fish] mortalities are accounted for and kept within safe biological limits,IPBES_SUA_2_90_65,2,NA
 number of countries with regulations requiring recovered of depleted species,number of countries with regulations requiring recovered of depleted species,IPBES_SUA_2_90_65,2,NA
 Marine Stewardship Council Certified catch,marine stewardship council certified catch,IPBES_SUA_2_90_65,2,NA
 Share of main groups of species in fish trade in terms of value,share of main groups of species in fish trade in terms of value,IPBES_SUA_2_90_65,2,NA
importance of forests to people,importance of forests to people,IPBES_SUA_2_92_69,2,NA
" Area and percent of forests managed primarily to protect the range of cultural, social and spiritual needs and values","area and percent of forests managed primarily to protect the range of cultural, social and spiritual needs and values",IPBES_SUA_2_92_69,2,NA
 Recognition and value of forest-management knowledge and skills of local people,recognition and value of forest-management knowledge and skills of local people,IPBES_SUA_2_92_69,2,NA
 Area and percent of forests used for subsistence purposes,area and percent of forests used for subsistence purposes,IPBES_SUA_2_92_69,2,NA
 Resilience of forest-dependent communities,resilience of forest-dependent communities,IPBES_SUA_2_92_69,2,NA
Ecolabel Index,ecolabel index,IPBES_SUA_2_93_72,2,NA
quality and abundance of food and medicine species,quality and abundance of food and medicine species,IPBES_SUA_2_95_77,2,NA
 habitat quality,habitat quality,IPBES_SUA_2_95_77,2,NA
 harvest intensity,harvest intensity,IPBES_SUA_2_95_77,2,NA
 sharing and trading institutions,sharing and trading institutions,IPBES_SUA_2_95_77,2,NA
 accessibility of resources,accessibility of resources,IPBES_SUA_2_95_77,2,NA
 weather patterns,weather patterns,IPBES_SUA_2_95_77,2,NA
 cultural continuity,cultural continuity,IPBES_SUA_2_95_77,2,NA
 abnormal occurrences in the territory,abnormal occurrences in the territory,IPBES_SUA_2_95_77,2,NA
abundance of food species,abundance of food species,IPBES_SUA_2_96_79,2,NA
 catch per unit effort,catch per unit effort,IPBES_SUA_2_96_79,2,NA
 spatial distribution of species,spatial distribution of species,IPBES_SUA_2_96_79,2,NA
 associated species,associated species,IPBES_SUA_2_96_79,2,NA
 cyclical patterns of abundance,cyclical patterns of abundance,IPBES_SUA_2_96_79,2,NA
 quality and abundance of food and medicine species,quality and abundance of food and medicine species,IPBES_SUA_2_96_79,2,NA
prevalence of certain species,prevalence of certain species,IPBES_SUA_2_97_80,2,1
 sounds associated with the forest,sounds associated with the forest,IPBES_SUA_2_97_80,2,1
 intensity of weather,intensity of weather,IPBES_SUA_2_97_80,2,1
 strength of people’s connection to the forest,strength of people’s connection to the forest,IPBES_SUA_2_97_80,2,1
 body condition,body condition,IPBES_SUA_2_97_80,2,1
 population size,population size,IPBES_SUA_2_97_80,2,1
 variability in migration patterns,variability in migration patterns,IPBES_SUA_2_97_80,2,1
 environmental change,environmental change,IPBES_SUA_2_97_80,2,1
 hunting success,hunting success,IPBES_SUA_2_97_80,2,1
 prevalence of knowledge about seasonal cycles in their communities,prevalence of knowledge about seasonal cycles in their communities,IPBES_SUA_2_97_80,2,1
 mean body mass,mean body mass,IPBES_SUA_2_97_80,2,1
 abundance of preferred harvest species,abundance of preferred harvest species,IPBES_SUA_2_97_80,2,1
 catch-per-unit effort,catch per unit effort,IPBES_SUA_2_97_80,2,1
number of publications,number of publications,IPBES_SUA_4_2_109,2,NA
impact of agricultural habitat conversion on birds,impact of agricultural habitat conversion on birds,IPBES_SUA_4_42_113,1,NA
Loss of lichen diversity,loss of lichen diversity,IPBES_SUA_4_47_115,2,NA
Farmland Bird Index,farmland bird index,IPBES_SUA_4_51_116,2,NA
 Quality of Governance Index,quality of governance index,IPBES_SUA_4_61_118,2,NA
number of CITES parties that have adopted standard procedures for non-detrimental findings,number of cites parties that have adopted standard procedures for non-detrimental findings,IPBES_SUA_4_65_122,2,NA
 number of surveys of CITES listed species undertaken by exporting States to support non-detrimental findings,number of surveys of cites listed species undertaken by exporting states to support non-detrimental findings,IPBES_SUA_4_65_122,2,NA
