indicator_orig,indicator_harmonized,indic_id,var_indic,ILK
inclusive wealth,inclusive wealth,IPBES_VA_2_7_9,2,NA
UNDP human development dashboard,undp human development dashboard,IPBES_VA_2_8_10,2,NA
 genuine progress INDICATOR,genuine progress indicator,IPBES_VA_2_8_10,2,NA
 sustainability dashboard,sustainability dashboard,IPBES_VA_2_8_10,2,NA
genetic diversity,genetic diversity,IPBES_VA_2_10_12,2,NA
 endemic species richness,endemic species richness,IPBES_VA_2_10_12,2,NA
 Gross Domestic Product,gross domestic product,IPBES_VA_2_10_12,2,NA
 environmental awareness,environmental awareness,IPBES_VA_2_10_12,2,NA
 inclusion of historically disadvantaged stakeholders,inclusion of historically disadvantaged stakeholders,IPBES_VA_2_10_12,2,NA
Willingness-to-pay,willingness to pay to protect nature or improve ecosystem services,IPBES_VA_2_18_19,2,NA
gross national happiness INDEX,gross national happiness index,IPBES_VA_2_29_20,2,NA
 Willingness-to-give-up-time,willingness to allocate time for nature´s contributions to people conservation,IPBES_VA_2_37_25,2,NA
Genetic diversity,genetic diversity,IPBES_VA_2_38_28,2,NA
 number of rare or threatened species,number of rare or threatened species,IPBES_VA_2_38_28,2,NA
 structural and functional connectivity of habitat,structural and functional connectivity of habitat,IPBES_VA_2_38_28,2,NA
 proportion of population exposed to air pollution,proportion of population exposed to air pollution,IPBES_VA_2_38_28,2,NA
 photo-rankings,photo-rankings,IPBES_VA_2_38_28,2,NA
 spatial densities of relational values in an area,spatial densities of relational values in an area,IPBES_VA_2_38_28,2,NA
 ethnographic accounts,ethnographic accounts,IPBES_VA_2_38_28,2,NA
 themes in a text representing nature´s values,themes in a text representing nature´s values,IPBES_VA_2_38_28,2,NA
 benefits derived from healthy ecosystems and costs caused by its depletion,benefits derived from healthy ecosystems and costs caused by its depletion,IPBES_VA_2_38_28,2,NA
 stock values of natural capital,stock values of natural capital,IPBES_VA_2_38_28,2,NA
Gross domestic product (GDP),gross domestic product,IPBES_VA_2_38_29,2,NA
 Index of sustainable economic welfare (ISEW),index of sustainable economic welfare (isew),IPBES_VA_2_38_29,2,NA
 genuine progress indicator (GPI),genuine progress indicator,IPBES_VA_2_38_29,2,NA
 Sustainable Development Goals index,sustainable development goals index,IPBES_VA_2_38_29,2,NA
 planetary pressures adjusted human development index,planetary pressures adjusted human development index (hdi),IPBES_VA_2_38_29,2,NA
 sustainable well-being index (SWI),sustainable well-being index (swi),IPBES_VA_2_38_29,2,NA
 ecological footprint,ecological footprint,IPBES_VA_2_38_29,2,NA
 human appropriation of net primary production,human appropriation of net primary productivity,IPBES_VA_2_38_29,2,NA
INDEX of Sustainable Economic Welfare,index of sustainable economic welfare (isew),IPBES_VA_2_39_33,2,NA
 United Nations System of Environmental Economic Accounting,united nations system of environmental economic accounting,IPBES_VA_2_39_33,2,NA
 inclusive wealth,inclusive wealth,IPBES_VA_2_39_33,2,NA
willingness to allocate time for nature´s contributions to people conservation,willingness to allocate time for nature´s contributions to people conservation,IPBES_VA_2_63_45,2,NA
 willingness to pay for nature´s contributions to people conservation,willingness to pay to protect nature or improve ecosystem services,IPBES_VA_2_63_45,2,NA
hectares of mangroves,mangrove forest area,IPBES_VA_2_76_48,1,NA
 reduced cost of road construction,reduced cost of road construction,IPBES_VA_2_76_48,1,NA
 reduced cost of road maintenance,reduced cost of road maintenance,IPBES_VA_2_76_48,1,NA
 fewer lives lost,fewer lives lost,IPBES_VA_2_76_48,1,NA
livelihood dependence,livelihood dependence,IPBES_VA_3_2_52,1,NA
 use of natural resource,use of natural resource,IPBES_VA_3_2_52,1,NA
 peoples’ preferences or spending on safeguarding biodiversity and ecosystem services,peoples’ preferences or spending on safeguarding biodiversity and ecosystem services,IPBES_VA_3_2_52,1,NA
appearance of new grass in grazing areas,appearance of new grass in grazing areas,IPBES_VA_3_6_54,2,1
Biodiversity Intactness INDEX,biodiversity intactness index,IPBES_VA_3_26_59,2,NA
 rate of use of pesticides,rate of use of pesticides,IPBES_VA_3_26_59,2,NA
 rate of wood removal,rate of wood removal,IPBES_VA_3_26_59,2,NA
management effectiveness in National Protected Areas,number of protected area management effectiveness (pame) assessments,IPBES_VA_3_27_60,2,NA
 corruption perception INDEX,corruption perception index,IPBES_VA_3_27_60,2,NA
life satisfaction,life satisfaction,IPBES_VA_3_41_70,2,NA
 happiness,happiness,IPBES_VA_3_41_70,2,NA
number of photos taken by the public in an advert to indicate aesthetic values,number of photos taken by the public in an advert to indicate aesthetic values,IPBES_VA_3_48_73,2,NA
 photo series analysis using social media,photo series analysis using social media,IPBES_VA_3_48_73,2,NA
 number of wildlife pictures posted on a photo-sharing website,number of wildlife pictures posted on a photo-sharing website,IPBES_VA_3_48_73,2,NA
Global index on indigenous peoples' well-being,global index on indigenous peoples' well-being,IPBES_VA_3_63_79,2,NA
 holistic health model,holistic health model,IPBES_VA_3_63_79,2,NA
 living conditions in the Arctic,living conditions in the arctic,IPBES_VA_3_63_79,2,NA
willingness to give up access to land or other resources to protect nature,willingness to give up access to land or other resources to protect nature,IPBES_VA_3_76_86,2,NA
 willingness to pay to protect nature or improve ecosystem services,willingness to pay to protect nature or improve ecosystem services,IPBES_VA_3_76_86,2,NA
 costs associated with protecting nature and biodiversity,costs associated with protecting nature and biodiversity,IPBES_VA_3_76_86,2,NA
 costs associated with maintaining NCPs of past or future projects,costs associated with maintaining ncps of past or future projects,IPBES_VA_3_76_86,2,NA
social welfare function (SWF),social welfare function (swf),IPBES_VA_3_96_97,2,NA
Inclusive Wealth,inclusive wealth,IPBES_VA_3_114_99,2,NA
"The number of countries implementing natural resource accounts, excluding energy, within the system of environmental economic accounting","number of countries implementing natural resource accounts, excluding energy, within the system of environmental economic accounting",IPBES_VA_4_28_108,2,NA
biodiversity in poverty reduction strategies,biodiversity in poverty reduction strategies,IPBES_VA_4_28_109,1,NA
 biophysical inventories of biodiversity and ecosystem services,biophysical inventories of biodiversity and ecosystem services,IPBES_VA_4_28_109,1,NA
 companies with policies for biodiversity-friendly practices,companies with policies for biodiversity-friendly practices,IPBES_VA_4_28_109,1,NA
 national accounts reflecting state of biodiversity and ecosystem services,national accounts reflecting state of biodiversity and ecosystem services,IPBES_VA_4_28_109,1,NA
number of countries implementing the system of environmental economic accounting,number of countries implementing the system of environmental economic accounting,IPBES_VA_4_73_122,2,NA
" number of countries that have integrated biodiversity values into national accounting and reporting systems, defined as implementation of the system of environmental-economic accounting (SEEA)","number of countries that have integrated biodiversity values into national accounting and reporting systems, defined as implementation of the system of environmental-economic accounting (seea)",IPBES_VA_4_73_122,2,NA
gross ecosystem product,gross ecosystem product,IPBES_VA_4_89_124,2,NA
Gross domestic product,gross domestic product,IPBES_VA_5_78_136,2,NA
 Human Development INDEX,human development index (hdi),IPBES_VA_5_78_136,2,NA
 Genuine Progress INDICATOR (GPI),genuine progress indicator,IPBES_VA_5_78_136,2,NA
 Sustainable Economic Welfare (ISEW),sustainable economic welfare (isew),IPBES_VA_5_78_136,2,NA
 Sustainable Development INDEX (SDI),sustainable development index (sdi),IPBES_VA_5_78_136,2,NA
 Inclusive Wealth,inclusive wealth,IPBES_VA_5_78_136,2,NA
Gross National Happiness INDEX of Bhutan,gross national happiness index of bhutan,IPBES_VA_6_21_143,2,NA
