indicator_harmonized,indic_ids,geo_extracted
achievement of a circular economic system,GEO_17_20_212,1
advanced malaria control,GEO_22_21_257,1
agricultural emissions from different farming sectors,GEO_17_11_203,1
agricultural employment and landholders,GEO_3_10_20,1
agro-biodiversity,GEO_23_24_262,1
air pollution exposure,GEO_5_19_45,1
air quality,GEO_20_6_228,1
air quality index,GEO_12_12_111,1
alcohol use,GEO_21_17_251,1
altering of the carbon and biogeochemical cycles,GEO_2_26_7,1
amend policies that lead to destruction of mangroves,GEO_17_8_200,1
anthropogenic emissions of long-lived greenhouse gases (co2 equivalents),GEO_12_15_115,1
anthropogenic emissions of long-lived greenhouse gases (ghg emissions),GEO_12_18_121,1
antimicrobial resistence in pathogens,GEO_4_15_35,1
arctic species trend index,GEO_6_24_60,1
beach litter,GEO_14_14_151;GEO_14_15_152,1
beef consumption,GEO_22_8_255,1
biocapacity,GEO_13_19_143,1
biodiversity intactness index,GEO_6_16_55;GEO_6_17_57,1
biofuel production,GEO_8_26_75,1
blood pressure,GEO_21_17_251,1
body mass index,GEO_21_17_251,1
buffer zones to protect catchment areas,GEO_17_8_200,1
build up area,GEO_8_14_67;GEO_8_14_67,1
business operations,GEO_17_20_212,1
"changes in terrestrial, marine and freshwater vertebrate populations",GEO_21_10_246,1
chemical contaminants,GEO_23_24_263,1
child mortality,GEO_22_21_257,1
childhood undernutrition,GEO_21_17_251,1
city biodiversity index,GEO_13_14_128,1
climate related loss events,GEO_2_28_8,1
co2 concentration,GEO_7_7_63,1
community awareness,GEO_17_8_200,1
complete phase-out of biomass use for cooking,GEO_22_21_257,1
coral bleaching,GEO_7_7_63,1
coverage of protected areas in relation to marine areas,GEO_14_14_147,1
cross-natrional comparative information on access to and ownership of land,GEO_3_10_20,1
deaths due to unsafe water,GEO_20_7_232,1
deforestation,GEO_6_8_49,1
deforestation rate,GEO_6_26_61;GEO_15_19_169,1
democracy,GEO_22_21_257,1
dietary health and sustainability,GEO_17_11_203;GEO_17_12_205,1
disability-adjusted life years (dalys) lost,GEO_5_19_45,1
domestic material consumption,GEO_17_20_213,1
"drinking water supply, treatment and distribution",GEO_9_18_80,1
drought-resistant vegetation,GEO_17_8_200,1
ecological footprint,GEO_13_14_129;GEO_13_19_142,1
economic growth,GEO_3_5_16,1
emissions of ozone-depleting substances,GEO_12_15_115;GEO_12_17_120,1
energy consumption,GEO_17_14_210,1
energy production,GEO_17_14_210,1
energy-intensity,GEO_22_12_256,1
enhanced vegetation index,GEO_6_18_58,1
environmentally friendly policy processes,GEO_3_5_16,1
exposure to ambient pm,GEO_5_19_45,1
exposure to high concentrations of pollutants,GEO_5_19_45,1
exposure to pm concentrations (population-weighted annual mean concentration of pm2.5),GEO_12_16_117,1
extent of ice cover,GEO_2_26_7,1
fertility rates,GEO_22_21_257,1
fertilizer price,GEO_8_26_75,1
food security index,GEO_3_12_24,1
food waste index,GEO_23_24_262,1
forest and land management,GEO_23_24_262,1
forest area as a percentage of total land area,GEO_15_19_170,1
freshwater change over time,GEO_16_19_194,1
freshwater withdrawal as a proportion of available freshwater resources,GEO_16_14_181;GEO_20_8_234,1
gender-disaggregated agricultural indices,GEO_3_10_20,1
ghg emissions,GEO_5_17_41;GEO_12_18_122,1
ghg emissions from agriculture,GEO_17_9_201,1
glacier mass balance,GEO_2_26_7,1
global atmospheric co levels,GEO_7_7_63,1
global capacity,GEO_13_14_129,1
global human settlement layer (ghsl),GEO_3_14_30,1
global mean surface temperature (gmst),GEO_2_26_7,1
global temperature increase,GEO_4_20_39,1
global temperature potential,GEO_12_18_124,1
global warming potential index,GEO_12_18_122,1
greenhouse gas emissions,GEO_4_20_39,1
greenhouse gas index (national oceanic and atmospheric administration),GEO_2_23_6,1
habitat loss,GEO_6_8_49,1
"high blood pressure, smoking, low birth weight, high levels of blood sugar",GEO_5_19_45,1
high body mass index,GEO_5_19_45,1
impacts of agricultural outpic prices on deforestation rates both inside and outside of protected areas,GEO_15_19_169,1
improved water supply and sanitation,GEO_16_18_190,1
improved/unimproved sources of drinking water,GEO_16_16_184,1
