indicator_harmonized,indic_ids,ipbes_extracted
ability of ecosystems to absorb and buffer hazards,IPBES_GA_2.3_42_143,1
abnormal occurrences in the territory,IPBES_SUA_2_95_77,1
above-ground biomass,IPBES_GA_2.2_37_70;IPBES_GA_2.2_39_76,1
above-ground biomass in forests,IPBES_GA_2.3_39_137,1
absence of conflict as indicator of political stability,IPBES_GA_2_24_29,1
abundance and location of habitat,IPBES_SUA_4_78_130,1
abundance of food species,IPBES_SUA_2_96_79,1
abundance of managed and wild pollinators,IPBES_GA_2.3_42_143,1
abundance of preferred harvest species,IPBES_SUA_2_97_80,1
access to improved sanitation facilities,IPBES_GA_2_109_44,1
access to land,IPBES_SUA_4_149_137,1
accessibility of resources,IPBES_SUA_2_95_77,1
adaptive capacity index (aci),IPBES_GA_4_129_208,1
adverse changes in woody or shrubby vegetation,IPBES_GA_2.2_81_123,1
adverse changes of unpalatable species,IPBES_GA_2.2_81_123,1
agriculture-based materials produced (tons),IPBES_GA_2.3_42_143,1
air pollution,IPBES_GA_2_83_42,1
air quality,IPBES_GA_3_123_420,1
alien species,IPBES_GA_2_118_47,1
alien species occurrence,IPBES_IAS_6_114_165,1
alien species richness,IPBES_GA_2_83_42;IPBES_IAS_3_8_84,1
animal behavior,IPBES_GA_2.3_40_140,1
annual rate of net forest loss,IPBES_GA_3_27_356;IPBES_GA_3_27_356,1
appearance of new grass in grazing areas,IPBES_VA_3_6_54,1
arctic species trend index,IPBES_GA_3_169_443,1
"area and percent of forests managed primarily to protect the range of cultural, social and spiritual needs and values",IPBES_SUA_2_92_69,1
area and percent of forests used for subsistence purposes,IPBES_SUA_2_92_69,1
area of agricultural land under conservation,IPBES_GA_1_52_19;IPBES_GA_3_15_329,1
area of agricultural land under organic production,IPBES_GA_3_15_329,1
area of floodplain wetlands,IPBES_GA_2.3_39_137,1
area of forest under sustainable management,IPBES_GA_3_72_395,1
area of natural and traditional landscapes and seascapes,IPBES_GA_2.3_42_143,1
arrival of new native and alien species,IPBES_GA_2.2_6_56,1
associated species,IPBES_SUA_2_96_79,1
average conservation status,IPBES_GA_4_158_230,1
average number of years of schooling,IPBES_GA_2_25_31,1
avoided costs from air pollution,IPBES_GA_2.3_42_143,1
avoided morbidity and premature mortality from air pollution,IPBES_GA_2.3_42_143,1
avoided water treatment costs,IPBES_GA_2.3_42_143,1
bare area,IPBES_GA_2.3_39_137,1
behavior of animals with importance as food,IPBES_GA_2.3_22_127,1
benefits derived from healthy ecosystems and costs caused by its depletion,IPBES_VA_2_38_28,1
better life index,IPBES_GA_1_52_19,1
biochemical oxygen demand (bod),IPBES_GA_3_74_399,1
biodiversity barometer (percentage of respondents giving correct definition of biodiversity),IPBES_GA_3_15_329,1
biodiversity barometer (percentage of respondents that have heard of biodiversity),IPBES_GA_3_15_329,1
biodiversity habitat index,IPBES_GA_1_52_19;IPBES_GA_2.2_37_70;IPBES_GA_2.2_39_75;IPBES_GA_2.2_52_95,1
biodiversity in poverty reduction strategies,IPBES_VA_4_28_109,1
