indicator_harmonized,indic_ids,ipcc_extracted
10-day cumulative precipitation,IPCC_12_17_597,1
15n/14n isotope ratio,IPCC_5_36_279,1
2 m air temperatures,IPCC_12_15_596,1
absolute global forcing potential (agfp),IPCC_7_91_360,1
absolute global temperature change potential (agtp),IPCC_7_91_360,1
accumulated cyclone energy (ace),IPCC_11_79_569,1
accumulated seasonal heat,IPCC_12_14_594,1
aerosol abundance,IPCC_2_24_45,1
aerosol changes,IPCC_3_17_173,1
aerosol index,IPCC_7_29_329,1
air moisture,IPCC_2_52_82,1
amoc,IPCC_1_70_30,1
annual gsat change,IPCC_1_50_21,1
annual ice volume,IPCC_1_50_21,1
annual precipitation from daily precipitation > 95th percentile (r95p),IPCC_11_53_541,1
annular mode index,IPCC_4_51_251,1
antarctic ice cores,IPCC_1_13_4,1
antarctic ice sheet loss,IPCC_7_55_334,1
arctic sea ice area,IPCC_4_7_219;IPCC_9_37_433,1
areas below calcium carbonate saturation thresholds,IPCC_12_24_615,1
atlantic meridional overturning circulation (amoc),IPCC_2_69_110;IPCC_4_8_220;IPCC_4_18_229,1
atlantic multi-decadal variability (amv) index,IPCC_2_90_158;IPCC_3_83_210;IPCC_10_58_493,1
atmosphere-land co2 fluxes,IPCC_3_64_190,1
atmospheric co2 concentrations,IPCC_1_16_6;IPCC_1_92_33;IPCC_2_81_132;IPCC_3_64_190,1
atmospheric dust deposition,IPCC_2_43_71,1
atmospheric evaporative demand (aed),IPCC_11_60_547,1
atmospheric internal variability,IPCC_8_88_422,1
atmospheric inversions,IPCC_5_40_281,1
beach erosion volume due to the 100-year recurrence storm wave height,IPCC_12_20_606,1
bedrock topography,IPCC_9_48_440,1
benthich isotopes,IPCC_2_28_57,1
blocking index,IPCC_8_47_395,1
boron-isotope,IPCC_2_14_37,1
c-haines index,IPCC_12_43_643,1
carbon uptake by land and ocean,IPCC_4_8_220,1
change in # days hi>41°c,IPCC_12_24_613,1
change in # days tx>35°c,IPCC_12_24_613,1
change in # droughts,IPCC_12_24_613,1
change in # soil moisture,IPCC_12_24_613,1
change in extreme total water level,IPCC_12_24_613,1
change in mean wind,IPCC_12_24_613,1
changes in evapotranspiration demand,IPCC_12_17_599,1
changes in groundwater,IPCC_12_17_599,1
changes in land versus sea surface temperature,IPCC_2_31_65,1
changes in low flows,IPCC_11_60_550,1
changes in mean precipitation,IPCC_4_49_249,1
changes in mean streamflow,IPCC_11_60_550,1
changes in observed cloud cover,IPCC_2_51_79,1
changes in phytoplankton phenology,IPCC_2_76_122,1
changes in precipitation,IPCC_12_17_599,1
changes in precipitation frequency and intensity,IPCC_8_27_367,1
changes in soil moisture,IPCC_12_17_599,1
changes in surface water,IPCC_12_17_599,1
"changes in the number of warm nights, warm days, cold nights, and cold days",IPCC_11_40_526,1
circulation,IPCC_2_26_47,1
circulation index,IPCC_4_8_221,1
climate velocity,IPCC_12_14_593,1
climatic impact-driver (cid) duration,IPCC_12_22_609,1
climatic impact-driver (cid) frequency,IPCC_12_22_609,1
climatic impact-driver (cid) magnitude,IPCC_12_22_609,1
climatic impact-driver (cid) spatial extent,IPCC_12_22_609,1
climatic impact-driver (cid) timing,IPCC_12_22_609,1
clorophyll concentration,IPCC_2_75_119,1
co2 concentration,IPCC_4_79_266,1
cold season temperatures,IPCC_12_19_604,1
combined extreme index (cei),IPCC_11_40_527,1
combined sea level due to storm surge and tide,IPCC_12_45_645,1
consecutive dry days (cdd),IPCC_11_58_543;IPCC_11_93_579;IPCC_12_17_601;IPCC_12_57_665,1
contrast of mean precipitation between dry and wet regions and between dry and wet seasons,IPCC_4_49_249,1
convective available potential energy and wind shear,IPCC_12_66_684,1
cooling degree day index,IPCC_12_54_662,1
cooling degree days,IPCC_12_46_648,1
