indicator_orig,indic_id,indicator_harmonized
Biodiversity Barometer (% of respondents that have heard of biodiversity),IPBES_GA3_sup_1,biodiversity barometer (percentage of respondents that have heard of biodiversity)
Biodiversity Barometer (% of respondents giving correct definition of biodiversity),IPBES_GA3_sup_2,biodiversity barometer (percentage of respondents giving correct definition of biodiversity)
Funding towards environmental education ($),IPBES_GA3_sup_3,funding towards environmental education
Online interest in biodiversity (proportion of google searches),IPBES_GA3_sup_4,online interest in biodiversity (proportion of google searches)
Funding towards Environmental Impact Assessment ($),IPBES_GA3_sup_5,funding towards environmental impact assessment
Number of research studies involving economic valuation,IPBES_GA3_sup_6,number of research studies involving economic valuation
World Trade Organisation green box agricultural subsidies ($),IPBES_GA3_sup_7,world trade organisation greenbox agricultural subsidies
Funding towards institutional capacity building in fisheries ($),IPBES_GA3_sup_8,funding towards institutional capacity building in fisheries
Percentage of countries that are Category 1 CITES Parties†,IPBES_GA3_sup_9,percentage of countries that are category 1 cites parties
Ecological Footprint (number of earths needed to support human society)†,IPBES_GA3_sup_10,ecological footprint
Red List Index (impacts of utilisation),IPBES_GA3_sup_11,red list index (for utilized species)
Red List Index (internationally traded species),IPBES_GA3_sup_12,red list index (internationally traded species)
Human appropriation of net primary productivity (Pg C),IPBES_GA3_sup_13,human appropriation of net primary productivity
Human appropriation of fresh water (water footprint) (thousand km3)†,IPBES_GA3_sup_14,human appropriation of fresh water
Wetland Extent Trends Index,IPBES_GA3_sup_15,wetland extent trends index
Area of tree cover loss (ha)†,IPBES_GA3_sup_16,tree cover
Percentage natural habitat extent,IPBES_GA3_sup_17,extent of suitable habitat
Wild Bird Index (habitat specialists),IPBES_GA3_sup_18,wild bird index (habitat specialists)
Red List index (forest specialists),IPBES_GA3_sup_19,red list index (forest specialists)
Proportion of fish stocks in safe biological limits†,IPBES_GA3_sup_20,proportion of fish stocks within biologically sustainable levels
Marine Stewardship Council certified fisheries (tonnes)†,IPBES_GA3_sup_21,marine stewardship council certified fisheries
