indicator_orig,indic_id,indicator_harmonized
Monthly maximum value of daily maximum temperature,IPCC_sup_1,monthly maximum value of daily maximum temperature
Monthly minimum value of daily maximum temperature,IPCC_sup_2,monthly minimum value of daily maximum temperature
Monthly minimum value of daily minimum temperature,IPCC_sup_3,monthly minimum value of daily minimum temperature
Monthly maximum value of daily minimum temperature,IPCC_sup_4,monthly maximum value of daily minimum temperature
Percentage of days when daily maximum temperature is greater than the 90th percentile,IPCC_sup_5,percentage of days when daily maximum temperature is greater than the 90th percentile
Percentage of days when daily maximum temperature is less than the 10th percentile,IPCC_sup_6,percentage of days when daily maximum temperature is less than the 10th percentile
Percentage of days when daily minimum temperature is greater than the 90th percentile,IPCC_sup_7,percentage of days when daily minimum temperature is greater than the 90th percentile
Percentage of days when daily minimum temperature is less than the 10th percentile,IPCC_sup_8,percentage of days when daily minimum temperature is less than the 10th percentile
Number of icing days: annual count of days when TX (daily maximum temperature) <0°C,IPCC_sup_9,number of icing days: annual count of days when tx (daily maximum temperature) <0°c
Number of frost days: annual count of days when TN (daily minimum temperature) <0°C,IPCC_sup_10,number of frost days: annual count of days when tn (daily minimum temperature) <0°c
Warm spell duration index: annual count of days with at least six consecutive days when TX >90th percentile,IPCC_sup_11,warm spell duration index (wsdi)
Cold spell duration index: annual count of days with at least six consecutive days when TN <10th percentile,IPCC_sup_12,cold spell duration index: annual count of days with at least six consecutive days when tn <10th percentile
Number of summer days: annual count of days when TX (daily maximum temperature) >25°C,IPCC_sup_13,number of summer days: annual count of days when tx (daily maximum temperature) >25°c
Number of tropical nights: annual count of days when TN (daily minimum temperature) >20°C,IPCC_sup_14,number of tropical nights: annual count of days when tn (daily minimum temperature) >20°c
Daily temperature range: monthly mean difference between TX and TN,IPCC_sup_15,daily temperature range: monthly mean difference between tx and tn
"Growing season length: annual (1 Jan to 31 Dec in Northern Hemisphere (NH), 1 July to 30 June in Southern Hemisphere (SH)) count between first span of at least six days with daily mean temperature TG >5°C and first span after July 1 (Jan 1 in SH) of six days with TG <5°C",IPCC_sup_16,"growing season length: annual (1 jan to 31 dec in northern hemisphere (nh), 1 july to 30 june in southern hemisphere (sh)) count between first span of at least six days with daily mean temperature tg >5°c and first span after july 1 (jan 1 in sh) of six days with tg <5°c"
One-in-20 year return value of monthly maximum value of daily maximum temperature,IPCC_sup_17,one-in-20 year return value of monthly maximum value of daily maximum temperature
