indicator_harmonized,indic_ids,ipcc_sup
1-in-100-year return period level (etwl),IPCC_sup_52,1
annual count of days when precipitation is greater than or equal to 10 mm,IPCC_sup_24,1
annual count of days when precipitation is greater than or equal to 20 mm,IPCC_sup_25,1
annual count of days when precipitation is greater than or equal to 5 mm,IPCC_sup_23,1
annual count of days when precipitation is greater than or equal to 50 mm,IPCC_sup_26,1
annual mean wind speed,IPCC_sup_50,1
annual precipitation amount when the daily precipitation exceeds the 99th percentile of the wet-day precipitation,IPCC_sup_30,1
annual total precipitation when the daily precipitation exceeds the 95th percentile of the wet-day (>1 mm) precipitation,IPCC_sup_29,1
cold spell duration index: annual count of days with at least six consecutive days when tn <10th percentile,IPCC_sup_12,1
cooling degree days,IPCC_sup_42,1
daily temperature range: monthly mean difference between tx and tn,IPCC_sup_15,1
flood index (fi),IPCC_sup_47,1
"growing season length: annual (1 jan to 31 dec in northern hemisphere (nh), 1 july to 30 june in southern hemisphere (sh)) count between first span of at least six days with daily mean temperature tg >5°c and first span after july 1 (jan 1 in sh) of six days with tg <5°c",IPCC_sup_16,1
heating degree days below 15.5°c,IPCC_sup_45,1
maximum five-day precipitation,IPCC_sup_22,1
maximum number of consecutive days with less than 1 mm of precipitation per day,IPCC_sup_27,1
maximum number of consecutive days with more than or equal to 1 mm of precipitation per day,IPCC_sup_28,1
maximum one-day precipitation,IPCC_sup_21,1
monthly maximum value of daily maximum temperature,IPCC_sup_1,1
monthly maximum value of daily minimum temperature,IPCC_sup_4,1
monthly minimum value of daily maximum temperature,IPCC_sup_2,1
monthly minimum value of daily minimum temperature,IPCC_sup_3,1
noaa heat index (hi): number of days above 41°c threshold,IPCC_sup_44,1
number of days with snow water equivalent >100 mm (swe100) over the snow season (nov-mar for nh),IPCC_sup_51,1
"number of days with tmax >35°c or 40°c (tx35, tx40)",IPCC_sup_43,1
number of frost days below 0°c (fd),IPCC_sup_46,1
number of frost days: annual count of days when tn (daily minimum temperature) <0°c,IPCC_sup_10,1
number of icing days: annual count of days when tx (daily maximum temperature) <0°c,IPCC_sup_9,1
number of summer days: annual count of days when tx (daily maximum temperature) >25°c,IPCC_sup_13,1
number of tropical nights: annual count of days when tn (daily minimum temperature) >20°c,IPCC_sup_14,1
one-in-20 year return value of maximum five-day precipitation,IPCC_sup_33,1
one-in-20 year return value of maximum one-day precipitation,IPCC_sup_32,1
one-in-20 year return value of monthly maximum value of daily maximum temperature,IPCC_sup_17,1
one-in-20 year return value of monthly maximum value of daily minimum temperature,IPCC_sup_20,1
one-in-20 year return value of monthly minimum value of daily maximum temperature,IPCC_sup_18,1
one-in-20 year return value of monthly minimum value of daily minimum temperature,IPCC_sup_19,1
palmer drought severity index (pdsi),IPCC_sup_40,1
percentage of days when daily maximum temperature is greater than the 90th percentile,IPCC_sup_5,1
percentage of days when daily maximum temperature is less than the 10th percentile,IPCC_sup_6,1
percentage of days when daily minimum temperature is greater than the 90th percentile,IPCC_sup_7,1
percentage of days when daily minimum temperature is less than the 10th percentile,IPCC_sup_8,1
"potential evaporation, evaporative demand drought index",IPCC_sup_35,1
shoreline retreat by mid- and end of century,IPCC_sup_53,1
simple precipitation intensity index,IPCC_sup_31,1
soil moisture,IPCC_sup_48,1
soil moisture anomalies,IPCC_sup_36,1
standardized precipitation evapotranspiration index (spei),IPCC_sup_41,1
standardized precipitation index (spi),IPCC_sup_34,1
standardized precipitation index accumulated over 6 months (spi-6),IPCC_sup_49,1
standardized runoff index (sri),IPCC_sup_38,1
standardized soil moisture index (ssmi),IPCC_sup_37,1
standardized streamflow index (ssi),IPCC_sup_39,1
warm spell duration index (wsdi),IPCC_sup_11,1
