goal,objective,indicator_orig,indic_id,indicator_harmonized
GOAL 1 TRADE IN CITES-LISTED SPECIES IS CONDUCTED IN FULL COMPLIANCE WITH THE CONVENTION IN ORDER TO ACHIEVE THEIR CONSERVATION AND SUSTAINABLE USE,"Objective 1.1 Parties comply with their obligations under the Convention through the adoption and implementation of appropriate legislation, policies, and procedures.","Number of Parties that are in category 1 under the national legislation project. ",CITES_G1.1.1_1,number of parties that are in category 1 under the national legislation project
GOAL 1 TRADE IN CITES-LISTED SPECIES IS CONDUCTED IN FULL COMPLIANCE WITH THE CONVENTION IN ORDER TO ACHIEVE THEIR CONSERVATION AND SUSTAINABLE USE,"Objective 1.1 Parties comply with their obligations under the Convention through the adoption and implementation of appropriate legislation, policies, and procedures.",Number of Parties subject to CITES recommendations to suspend trade.,CITES_G1.1.2_2,number of parties subject to cites recommendations to suspend trade
GOAL 1 TRADE IN CITES-LISTED SPECIES IS CONDUCTED IN FULL COMPLIANCE WITH THE CONVENTION IN ORDER TO ACHIEVE THEIR CONSERVATION AND SUSTAINABLE USE,Objective 1.2 Parties have established CITES Management and Scientific Authorities and enforcement focal points that effectively carry out the duties required of them under the Convention and relevant Resolutions.,"Number of Parties that have designated at least one Management Authority, independent Scientific Authority and enforcement focal points in place.",CITES_G1.2.1_3,"number of parties that have designated at least one management authority, independent scientific authority and enforcement focal points in place"
GOAL 1 TRADE IN CITES-LISTED SPECIES IS CONDUCTED IN FULL COMPLIANCE WITH THE CONVENTION IN ORDER TO ACHIEVE THEIR CONSERVATION AND SUSTAINABLE USE,Objective 1.3 Implementation of the Convention at the national level is consistent with Resolutions and Decisions adopted by the Conference of the Parties.,Number of Parties that have implemented relevant reporting under Resolutions and Decisions of the Conference of the Parties and/or Standing Committee recommendations.,CITES_G1.3.1_4,number of parties that have implemented relevant reporting under resolutions and decisions of the conference of the parties and/or standing committee recommendations
GOAL 1 TRADE IN CITES-LISTED SPECIES IS CONDUCTED IN FULL COMPLIANCE WITH THE CONVENTION IN ORDER TO ACHIEVE THEIR CONSERVATION AND SUSTAINABLE USE,"Objective 1.5 Parties improve the conservation status of CITES-listed specimens, put in place national conservation actions, support their sustainable use and promote cooperation in managing shared wildlife resources.","The conservation status of species listed on the CITES Appendices has stabilized or improved. ",CITES_G1.5.1_5,the conservation status of species listed on the cites appendices has stabilized or improved
GOAL 1 TRADE IN CITES-LISTED SPECIES IS CONDUCTED IN FULL COMPLIANCE WITH THE CONVENTION IN ORDER TO ACHIEVE THEIR CONSERVATION AND SUSTAINABLE USE,"Objective 1.5 Parties improve the conservation status of CITES-listed specimens, put in place national conservation actions, support their sustainable use and promote cooperation in managing shared wildlife resources.",Number of CITES-listed species for which Parties have put in place actions that support sustainable use,CITES_G1.5.2_6,number of cites-listed species for which parties have put in place actions that support sustainable use
GOAL 2 PARTIES’ DECISIONS ARE SUPPORTED BY THE BEST AVAILABLE SCIENCE AND INFORMATION,Objective 2.1 Parties’ non-detriment findings are based on best available scientific information and their determination of legal acquisition is based on the best available technical and legal information.,"Number of Parties that have adopted standard procedures for making non-detriment findings (NDFs). ",CITES_G2.1.1_7,number of parties that have adopted standard procedures for making non-detriment findings (ndfs)
GOAL 2 PARTIES’ DECISIONS ARE SUPPORTED BY THE BEST AVAILABLE SCIENCE AND INFORMATION,Objective 2.1 Parties’ non-detriment findings are based on best available scientific information and their determination of legal acquisition is based on the best available technical and legal information.,"Number of written NDFs submitted and number of Parties submitting NDFs for posting in the CITES online database. ",CITES_G2.1.2_8,number of written ndfs submitted and number of parties submitting ndfs for posting in the cites online database
GOAL 2 PARTIES’ DECISIONS ARE SUPPORTED BY THE BEST AVAILABLE SCIENCE AND INFORMATION,Objective 2.1 Parties’ non-detriment findings are based on best available scientific information and their determination of legal acquisition is based on the best available technical and legal information.,"Number of Parties that have included the legal acquisition finding obligation in their national regulatory framework, as recommended by Resolution Conf. 18.7 (Rev. CoP19).",CITES_G2.1.3_9,"number of parties that have included the legal acquisition finding obligation in their national regulatory framework, as recommended by resolution conf. 18.7 (rev. cop19)"
GOAL 2 PARTIES’ DECISIONS ARE SUPPORTED BY THE BEST AVAILABLE SCIENCE AND INFORMATION,Objective 2.2 Parties cooperate in sharing information and tools relevant to the implementation of CITES.,"Number of surveys, studies or other analyses undertaken by exporting countries based on the sources of information cited in Resolution Conf. 16.7 (Rev. CoP17) on Non-detriment findings related to - the population status of Appendix-II species; - the trends and impact of trade upon Appendix-II species; and - the status of and trend in naturally-occurring Appendix I species and the impact of any recovery plans. ",CITES_G2.2.1_10,"number of surveys, studies or other analyses undertaken by exporting countries based on the sources of information cited in resolution conf. 16.7 (rev. cop17) on non-detriment findings related to - the population status of appendix-ii species; - the trends and impact of trade upon appendix-ii species; and - the status of and trend in naturally-occurring appendix i species and the impact of any recovery plans"
