Goal/target,Indicator name,Availability,Time series,Update frequency,Global indicator,National data,National methodology available,Institution,Other MEAs/Processes,Used in 5NR/6NR,BIP Indicator,Gender,notes_ys
Goal A,Forest area as a proportion of total land area ,Available,"1990 - 2020

","1990, 2000, 2010, 2015, then annually to 2020",Y ,Y,Y,Food and Agriculture Organization (FAO),IPBES; SDG,6NR 7 out of 20 countries sampled ,Y,N,
Goal A,Forest distribution,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
Goal A,"Tree cover loss
",Available,2001 - 2020,Yearly,Y,N,Y,Global Forest Watch - World Resource Institute (WRI); University of Maryland Global Land Analysis & Discovery lab (GLAD),N,N,N,N,
Goal A,Grassland and savannah extent,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
Goal A,"Mountain Green Cover Index
",Available,"2000, 2010, 2015, 2018",Data pending,Y,Y,Y,Food and Agriculture Organization(FAO),SDG,N,N,N,
Goal A,"Peatland extent and condition
",Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
Goal A,"Permafrost thickness, depth and extent
",Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
Goal A,"Continuous Global Mangrove Forest Cover
",Available,2000 - 2014,5 years,Y ,N,Y,Salisbury University,N,N,Y,N,
Goal A,"Trends in mangrove forest fragmentation
",Available,2000 - 2012,Data pending,Y,N,N,Griffith University (Australian Rivers Institute),N,N,N,N,
Goal A,"Trends in mangrove extent
",Available,1996 - 2016,Yearly,Y,Y,Y,Global Mangrove Watch,SDG,N,N,N,
Goal A,"Live coral cover 
",Available,1970s - 2020,Yearly,Y ,N,Y,Global Coral Reef Monitoring Network; Global Ocean Observing System,N,6NR 8 out of 20 countries sampled,Y,N,
Goal A,"Hard coral cover and composition 
",In development,Data pending,Data pending,Data pending,Data pending,Data pending,"Global Coral Reef Monitoring Network; Intergovernmental Oceanographic Commission - United Nations Educational, Scientific and Cultural Organization (IOC-UNESCO)",Data pending,N,N,Data pending,
Goal A,"Global coral reef extent 
",Available,2001 - 2018,Data pending,Y,N,N,WorldFish Centre; United Nations Environment Programme World Conservation Monitoring Centre (UNEP-WCMC); The Nature Conservancy (TNC); World Resources Institute (WRI),N,N,N,N,
Goal A,Global Seagrass Extent (Seagrass Cover and composition) ,In development,1934 - 2015,Data pending,Y,Y,N,"United Nations Environment Programme World Conservation Monitoring Centre (UNEP-WCMC); Intergovernmental Oceanographic Commission - United Nations Educational, Scientific and Cultural Organization (IOC-UNESCO)",N,N,N,N,
Goal A,"Global saltmarsh extent
",Available,Data pending,Data pending,Y,N,N,United Nations Environment Programme World Conservation Monitoring Centre (UNEP-WCMC),N,N,N,N,
Goal A,"Kelp canopy extent
",In development,1984 - Present,16 days,Y,N,N,KEEP; Zooniverse; Santa Barbara Coastal; Long Term Ecological Research (SBC-LTER),N,N,N,N,
Goal A,"Macroalgal Canopy Cover and Composition
",Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
Goal A,"Cover of key benthic groups
",In development,2020,Data pending,Y,Y,N,Global Coral Reef Monitoring Network,N,N,N,N,
Goal A,"Fleshy algae cover
",In development,Data pending,Data pending,Y,Y,N,Global Coral Reef Monitoring Network,N,N,N,N,
Goal A,"Wetland Extent Trends Index
",Available,1970 - 2015,Data pending,Y ,N,Y,United Nations Environment Programme World Conservation Monitoring Centre (UNEP-WCMC); Secretariat of the Ramsar Convention on Wetlands,Ramsar Convention on Wetlands,6NR 8 out of 20 countries sampled,Y,N,
Goal A,Change in the extent of inland water ecosystems over time,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
Goal A,"Forest Fragmentation Index
",Available,Data pending,Yearly,Y,N,Y,Food and Agriculture Organization (FAO),N,N,N,N,
Goal A,"Forest Landscape Integrity Index
",Available,2019,Yearly,Y,N,Y,Wildlife Conservation Society (WCS),N,N,Y,N,
Goal A,"Biomass of selected natural ecosystems 
",Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
Goal A,Biodiversity Habitat Index ,Available,"2005, 2010, 2015",5 years,Y ,Y,Y,Commonwealth Scientific and Industrial Research Organisation (CSIRO),IPBES,N,Y,N,
Goal A,"Global Vegetation Health Products
",Available,1982 - 2021,Near real-time,Y,N,N,United Nations Platform for Space-based Information for Disaster Management and Emergency Response (UN-SPIDER); National Oceanic and Atmospheric Administration Center for Satellite Applications and Research (NOAA-STAR),N,N,N,N,
Goal A,Bioclimatic Ecosystem Resilience Index (BERI) ,Available,2000 - 2020 ,5 years ,Y ,Y,Y,Commonwealth Scientific and Industrial Research Organisation (CSIRO),N,N,Y,N,
Goal A,"Relative Magnitude of Fragmentation (RMF) 
",Available,1992 - 2018,Yearly,Y,N,Y,University of Amsterdam,N,N,N,N,
Goal A,"Ecosystem Intactness Index
",Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
Goal A,"Biodiversity Intactness Index 
",Available,1900 - 2014,Data pending,Y ,N,Y,Natural History Museum (NHM),IPBES,6NR 1 out of 20 countries sampled,Y,N,
Goal A,"Ocean Health Index 
",Available,2012 - 2019,Yearly,Y ,N,Y,National Centre for Ecological Analysis and Synthesis (NCEAS),N,6NR 1 out of 20 countries sampled,Y,N,
Goal A,Extent of physical damage indicator to predominant seafloor habitats physical damage ,Available,2010 - 2015,6 years,Y,Y,Y,Joint Nature Conservation Committee (JNCC),N,N,N,N,
Goal A,River Fragmentation Index,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
Goal A,Dendritic Connectivity Index,Available,Data pending,Data pending,N,N,Y,Memorial University of Newfoundland,N,N,N,N,
Goal A,Percentage of threatened species that are improving in status according to the Red List,Available,Data pending,Anticipated 2024,Y,N,Y,International Union for Conservation of Nature (IUCN),N,N,N,N,
Goal A,Number of threatened species by species group,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
Goal A,Wild bird index ,Available,1968 - 2017,Yearly,N,Y,Y,USGS; BirdLife International (BLI); Royal Society for the Protection of Birds (RSPB); PanEuropean Common Bird Monitoring Scheme (PECBMS),SPMS,N,Y,N,
Goal A,Mean Species Abundance (MSA) ,Available,1992 - 2020,2 years,Y,N,Y,Global biodiversity model for policy support (GLOBIO) consortium partner  Netherlands Environmental Assessment Agency (PBL),IPBES,N,N,N,
Goal A,Species Protection Index,Available,2001 - 2018,Yearly,Y ,Y,Y,Yale University; Map of Life (MOL),IPBES,N,Y,N,
Goal A,Changes in plankton biomass and abundance,Available,1950s - 2014,Data pending,Y,N,N,Plymouth University; Healthy & Biologically Diverse Seas Evidence Group (HBDSEG),N,N,N,N,
Goal A,Fish abundance and biomass ,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
Goal A,Genetic scorecard for wild species ,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
Goal A,local species richness (predicts),Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,updated
Goal A,"Marine species richness 
",Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
Goal A,Comprehensiveness of conservation of socioeconomically as well as culturally valuable species. ,Available,2017 - 2018,5 years ,Y ,N,Y,International Center for Tropical Agriculture (CIAT); Global Crop Diversity Trust (Crop Trust),N,N,Y,N,
Goal A,Number of plant and animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities ,Available,2016 - 2020,Yearly,Y,Y,Y,Food and Agriculture Organization (FAO),SDG,6NR 4 out of 20 countries sampled,Y,N,
