Goal/target,Indicator name,Availability,Time series,Update frequency,Global indicator,National data,National methodology available,Institution,Other MEAs/Processes,Used in 5NR/6NR,BIP Indicator,Gender
Goal A,Ecosystem Intactness Index,Available,2013,Yearly,Y,N,Y,Wildlife Conservation Society (WCS),N,N,Y,N
Goal A,Ecosystem Integrity Index ,In development,In development ,In development ,In development,In development,In development,In development,In development,In development,N,In development
Goal A,Species habitat Index ,Available,2001 - 2020,Yearly,Y,Y,Y,Yale University; Group on Earth Observations - Biodiversity Observation Network (GEO BON),IPBES,Data pending,Y,N
Goal A,Biodiversity Habitat Index ,Available,"2005, 2010, 2015",5 years,Y ,N,Y,Commonwealth Scientific and Industrial Research Organisation (CSIRO),IPBES,N,Y,N
Goal A,Protected Connected (Protconn) index,Available,2016 - 2018,2 years,Y ,Y,Y,European Commission (EC),N,N,Y,N
Goal A,Protected Area Connectedness Index (PARC-Connectedness),Available,"1970-2010, 2012-2020","pre 2012 10 years, post 2012 2 years",Y ,Y,Y,CSIRO,N,N,Y,N
Goal A,Evolutionarily Distinct and Globally Endangered (EDGE) ,Available,Data pending,Yearly,Y ,N,N,International Union for Conservation of Nature Species Survival Commission (IUCN SSC) Phylogenetic Diversity Task Force,N,N,N,N
Goal A,Living Planet Index,In development,1970 - 2018,2 years ,Y ,Y,In development,"Institute of Zoology, Zoological Society of London",IPBES; CMS; Ramsar Convention on Wetlands,N,Y,N
Goal A,Change in the extent of water-related ecosystems over time ,Available,2000 - 2018,Yearly,Y,Y,Y,United Nations Environment Programme (UNEP); Secretariat of the Ramsar Convention on Wetlands,Ramsar Convention on Wetlands; SDG,N,N,N
Goal B,Red List Index (for utilized species),Available,1993 - 2021,Data pending,Y,N,Y,International Union for Conservation of Nature (IUCN); BirdLife International (BLI),N,N,N,N
Goal B,Living Planet Index (for used species),Available,1970- 2018,2 years,Y ,Y,In development,"Institute of Zoology, Zoological Society of London",IPBES; CMS; Ramsar Convention on Wetlands,N,Y,N
Goal C,None adopted,N,N,N,N,N,N,N,N,N,N,N
Goal D ,None adopted,N,N,N,N,N,N,N,N,N,N,N
Target 1,Priority retention of intact / wilderness areas,In development,In development,In development,In development,In development,In development,In development,In development,In development,In development,In development
Target 2,Extent of natural ecosystems by type,In development,In development,In development,In development,In development,In development,In development,In development,In development,In development,In development
Target 2,Maintenance and restoration of connectivity of natural ecosystems,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending
Target 3,Protected area coverage of key biodiversity areas,Available,1867 - 2016 ,Yearly,Y,Y,Y,United Nations Environment Programme World Conservation Monitoring Centre (UNEP-WCMC); International Union for Conservation of Nature (IUCN); BirdLife International (BLI); Alliance for Zero Extinction (AZE); Key Biodiversity Area (KBA) partnership,SDG,N,Y,N
Target 3,Protected Area Management Effectiveness (PAME),Available,2017 - 2021 ,Monthly,Y,Y,Y,United Nations Environment Programme World Conservation Monitoring Centre (UNEP-WCMC),N,N,Y,N
Target 3,Protconn,Available,2016 - 2018,2 years,Y,Y,Y,European Commission (EC),N,N,Y,N
Target 3,Protected Area Connectedness Index (PARC-Connectedness) ,Available,"1970-2010, 2012-2020","pre 2012 10 years, post 2012 2 years",Y ,Y ,Y ,CSIRO,N,N,Y,N
Target 3,Red List of Ecosystems,Available,2014-2025,5 years,Y,Y,In development,International Union for Conservation of Nature (IUCN),SDG,N,Yes,N
Target 3,Connectivity Indicator (in development),Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending
Target 3,The number of protected areas that have completed a site-level assessment of governance and equity (SAGE),In development,Data pending,Data pending,Data pending,Data pending,Data pending,International Institute for Environment and Development (IIED),N,N,N,N
Target 3,Species Protection Index,Available,2001 - 2018,Yearly,Y ,Y,Y,Yale University; Map of Life (MOL),IPBES,N,Y,N
Target 4,Living Planet Index ,Available,1970 - 2018,2 years ,Y,Y,In development,"Institute of Zoology, Zoological Society of London",IPBES; CMS; Ramsar Convention on Wetlands,N,Y,N
