goal_target,indicator_orig,indic_id,indicator_harmonized,indicator_type
Goal A,Red List of Ecosystems,GBF_GA_H_1,red list of ecosystems,Headline
Goal A,Extent of natural ecosystems,GBF_GA_H_2,extent of natural ecosystems,Headline
Goal A,Red List Index,GBF_GA_H_3,red list index,Headline
Goal A,The proportion of populations within species with an effective population size > 500,GBF_GA_H_4,proportion of populations within species with an effective population size > 500,Headline
Goal B,Services provided by ecosystems,GBF_GB_H_5,services provided by ecosystems,Headline
Goal B,"Number of countries with policies or actions for implementing and monitoring the sustainable use of biodiversity and the maintenance and enhancement of nature's contributions to people, including ecosystem functions and services",GBF_GB_H_6,"number of countries with policies or actions for implementing and monitoring the sustainable use of biodiversity and the maintenance and enhancement of nature's contributions to people, including ecosystem functions and services",Binary
Goal C,Monetary benefits received in accordance with applicable internationally agreed Access and Benefit-sharing instruments,GBF_GC_H_7,monetary benefits received in accordance with applicable internationally agreed access and benefit-sharing instruments,Headline
Goal C,Non-monetary benefits arising from applicable international Access and Benefit-sharing instruments,GBF_GC_H_8,non-monetary benefits arising from applicable international access and benefit-sharing instruments,Headline
Goal C,"Number of countries that have taken effective legal, policy, administrative and capacity-building measures at all levels, as appropriate, to ensure the fair and equitable sharing of benefits from the utilization of genetic resources and from digital sequence information on genetic resources, as well as traditional knowledge associated with genetic resources.",GBF_GC_H_9,"number of countries that have taken effective legal, policy, administrative and capacity-building measures at all levels, as appropriate, to ensure the fair and equitable sharing of benefits from the utilization of genetic resources and from digital sequence information on genetic resources, as well as traditional knowledge associated with genetic resources",Binary
Goal D,"International public funding, including official development assistance (ODA) for conservation and sustainable use of biodiversity and ecosystems",GBF_GD_H_10,"international public funding, including official development assistance (oda) for conservation and sustainable use of biodiversity and ecosystems",Headline
Goal D,Domestic public funding on conservation and sustainable use of biodiversity and ecosystems,GBF_GD_H_11,domestic public funding on conservation and sustainable use of biodiversity and ecosystems,Headline
Goal D,Private funding (domestic and international) on conservation and sustainable use of biodiversity and ecosystems,GBF_GD_H_12,private funding (domestic and international) on conservation and sustainable use of biodiversity and ecosystems,Headline
Target 1,Red List of Ecosystems,GBF_T1_H_13,red list of ecosystems,Headline
Target 1,Extent of natural ecosystems,GBF_T1_H_14,extent of natural ecosystems,Headline
Target 1,Percentage of land and seas covered by biodiversity-inclusive spatial plans,GBF_T1_H_15,percentage of land and seas covered by biodiversity-inclusive spatial plans,Headline
Target 1,"Number of countries using participatory, integrated and biodiversity-inclusive spatial planning or effective management processes to address land and sea use change.",GBF_T1_H_16,"number of countries using participatory, integrated and biodiversity-inclusive spatial planning or effective management processes to address land and sea use change",Binary
Target 2,Area under restoration,GBF_T2_H_17,area under restoration,Headline
Target 3,Coverage of protected areas and other effective area-based conservation measures,GBF_T3_H_18,coverage of protected areas and other effective area-based conservation measures,Headline
Target 4,Red List Index,GBF_T4_H_19,red list index,Headline
Target 4,The proportion of populations within species with an effective population size > 500,GBF_T4_H_20,proportion of populations within species with an effective population size > 500,Headline
Target 5,Proportion of fish stocks within biologically sustainable levels,GBF_T5_H_21,proportion of fish stocks within biologically sustainable levels,Headline
Target 6,Rate of invasive alien species establishment,GBF_T6_H_22,rate of invasive alien species establishment,Headline
Target 6,"Number of countries adopting relevant regulation, processes and measures and allocating resources to reduce the impact of invasive alien species.",GBF_T6_H_23,"number of countries adopting relevant regulation, processes and measures and allocating resources to reduce the impact of invasive alien species",Binary
Target 7,Index of coastal eutrophication potential,GBF_T7_H_24,index of coastal eutrophication potential (icep),Headline
Target 7,Aggregated Total Applied Toxicity,GBF_T7_H_25,aggregated total applied toxicity,Headline
Target 8,Number of countries with agreed policies to minimize the impact of climate change and ocean acidification on biodiversity and that minimize negative and foster positive impacts of climate action on biodiversity.,GBF_T8_H_26,number of countries with agreed policies to minimize the impact of climate change and ocean acidification on biodiversity and that minimize negative and foster positive impacts of climate action on biodiversity,Binary
Target 9,Benefits from the sustainable use of wild species,GBF_T9_H_27,benefits from the sustainable use of wild species,Headline
Target 9,Percentage of the population in traditional occupations,GBF_T9_H_28,percentage of the population in traditional occupations,Headline
Target 9,"Number or countries with policies to manage the use of wild species sustainably, providing social, economic and environmental benefits for people, and to protect and encourage customary sustainable use by indigenous peoples and local communities",GBF_T9_H_29,"number or countries with policies to manage the use of wild species sustainably, providing social, economic and environmental benefits for people, and to protect and encourage customary sustainable use by indigenous peoples and local communities",Binary
Target 10,Proportion of agricultural area under productive and sustainable agriculture,GBF_T10_H_30,proportion of agricultural area under productive and sustainable agriculture,Headline
Target 10,Progress towards sustainable forest management,GBF_T10_H_31,progress towards sustainable forest management,Headline
Target 11,Services provided by ecosystems,GBF_T11_H_32,services provided by ecosystems,Headline
Target 12,Average share of the built-up area of cities that is green/blue space for public use for all,GBF_T12_H_33,average share of the built-up area of cities that is green/blue space for public use for all,Headline
Target 12,Number of countries with biodiversity-inclusive urban planning referring to green or blue urban spaces.,GBF_T12_H_34,number of countries with biodiversity-inclusive urban planning referring to green or blue urban spaces,Binary
Target 13,Indicator on monetary benefits received,GBF_T13_H_35,indicator on monetary benefits received,Headline
Target 13,Indicator on non-monetary benefits,GBF_T13_H_36,indicator on non-monetary benefits,Headline
Target 13,"Number of countries that have taken effective legal, policy, administrative and capacity-building measures at all levels, as appropriate, to ensure the fair and equitable sharing of benefits from the utilization of genetic resources and from digital sequence information on genetic resources, as well as traditional knowledge associated with genetic resources.",GBF_T13_H_37,"number of countries that have taken effective legal, policy, administrative and capacity-building measures at all levels, as appropriate, to ensure the fair and equitable sharing of benefits from the utilization of genetic resources and from digital sequence information on genetic resources, as well as traditional knowledge associated with genetic resources",Binary
Target 14,"Number of countries integrating biodiversity and its multiple values into policies, regulations, planning, development processes, poverty [reduction][eradication] strategies and accounts at all levels, [ensuring that biodiversity values are mainstreamed] [and] across all sectors [ and fiscal and financial flows are aligned with it].",GBF_T14_H_38,"number of countries integrating biodiversity and its multiple values into policies, regulations, planning, development processes, poverty [reduction][eradication] strategies and accounts at all levels, [ensuring that biodiversity values are mainstreamed] [and] across all sectors [ and fiscal and financial flows are aligned with it]",Binary
Target 15,"Number of companies disclosing their biodiversity-related risks, dependencies and impacts",GBF_T15_H_39,"number of companies disclosing their biodiversity-related risks, dependencies and impacts",Headline
Target 15,"Number of countries taking legal, administrative or policy measures aimed at encouraging and enabling business and financial institutions, and in particular, ensuring that large and transnational companies and financial institutions, to progressively reduce negative impacts from business and financial institutions on biodiversity, increase their positive impacts, reduce their biodiversity-related risks and promote actions to ensure sustainable patterns of production.",GBF_T15_H_40,"number of countries taking legal, administrative or policy measures aimed at encouraging and enabling business and financial institutions, and in particular, ensuring that large and transnational companies and financial institutions, to progressively reduce negative impacts from business and financial institutions on biodiversity, increase their positive impacts, reduce their biodiversity-related risks and promote actions to ensure sustainable patterns of production",Binary
Target 16,"Number of countries developing, adopting or implementing policy instruments aimed at encouraging and enabling people to make sustainable consumption choices.",GBF_T16_H_41,"number of countries developing, adopting or implementing policy instruments aimed at encouraging and enabling people to make sustainable consumption choices",Binary
Target 17,Number of countries that have taken action to implement biosafety measures as set out in Article 8(g) of the Convention and measures for the handling of biotechnology and the distribution of its benefits as set out in Article 19.,GBF_T17_H_42,number of countries that have taken action to implement biosafety measures as set out in article 8(g) of the convention and measures for the handling of biotechnology and the distribution of its benefits as set out in article 19,Binary
Target 18,Positive incentives in place to promote biodiversity conservation and sustainable use,GBF_T18_H_43,positive incentives in place to promote biodiversity conservation and sustainable use,Headline
Target 18,Value of subsidies and other incentives harmful to biodiversity,GBF_T18_H_44,value of subsidies and other incentives harmful to biodiversity,Headline
Target 19,"International public funding, including official development assistance (ODA) for conservation and sustainable use of biodiversity and ecosystems",GBF_T19_H_45,"international public funding, including official development assistance (oda) for conservation and sustainable use of biodiversity and ecosystems",Headline
Target 19,Domestic public funding on conservation and sustainable use of biodiversity and ecosystems,GBF_T19_H_46,domestic public funding on conservation and sustainable use of biodiversity and ecosystems,Headline
Target 19,Private funding (domestic and international) on conservation and sustainable use of biodiversity and ecosystems,GBF_T19_H_47,private funding (domestic and international) on conservation and sustainable use of biodiversity and ecosystems,Headline
Target 20,"Number of countries that have taken significant action to strengthen capacity-building and development, access to and transfer of technology, and to promote the development of and access to innovation and technical and scientific cooperation.",GBF_T20_H_48,"number of countries that have taken significant action to strengthen capacity-building and development, access to and transfer of technology, and to promote the development of and access to innovation and technical and scientific cooperation",Binary
Target 21,Indicator on biodiversity information for monitoring the global biodiversity framework,GBF_T21_H_49,indicator on biodiversity information for monitoring the global biodiversity framework,Headline
Target 22,"Number of countries taking action towards the full, equitable, inclusive, effective and gender-responsive representation and participation in decision-making and access to justice and information related to biodiversity by indigenous peoples and local communities, respecting their cultures and their rights over lands, territories, resources and traditional knowledge, as well as by women and girls, children and youth, and persons with disabilities, and the full protection of environmental human rights defenders",GBF_T22_H_50,"number of countries taking action towards the full, equitable, inclusive, effective and gender-responsive representation and participation in decision-making and access to justice and information related to biodiversity by indigenous peoples and local communities, respecting their cultures and their rights over lands, territories, resources and traditional knowledge, as well as by women and girls, children and youth, and persons with disabilities, and the full protection of environmental human rights defenders",Binary
Target 23,"Number of countries with legal, administrative or policy frameworks, including the Gender Plan of Action, as well as the allocation of specific financial resources to ensure that all women and girls have equal opportunity and capacity to contribute to the three objectives of the Convention, including by ensuring women’s equal rights and access to land and natural resources.",GBF_T23_H_51,"number of countries with legal, administrative or policy frameworks, including the gender plan of action, as well as the allocation of specific financial resources to ensure that all women and girls have equal opportunity and capacity to contribute to the three objectives of the convention, including by ensuring women’s equal rights and access to land and natural resources",Binary
Goal A,Ecosystem Intactness Index,GBF_GA_C_1,ecosystem intactness index,component
Goal A,Ecosystem Integrity Index,GBF_GA_C_2,ecosystem integrity index,component
Goal A,Species habitat Index,GBF_GA_C_3,species habitat index,component
Goal A,Biodiversity Habitat Index,GBF_GA_C_4,biodiversity habitat index,component
Goal A,Protected Connected (Protconn) index,GBF_GA_C_5,protected connected (protconn) index,component
Goal A,Protected Area Connectedness Index (PARC-Connectedness),GBF_GA_C_6,protected area connectedness (parc-connectedness) index,component
Goal A,Evolutionarily Distinct and Globally Endangered (EDGE),GBF_GA_C_7,evolutionarily distinct and globally endangered (edge),component
Goal A,Living Planet Index,GBF_GA_C_8,living planet index,component
Goal A,Change in the extent of water-related ecosystems over time,GBF_GA_C_9,change in the extent of water-related ecosystems over time,component
Goal B,Red List Index (for utilized species),GBF_GB_C_10,red list index (for utilized species),component
Goal B,Living Planet Index (for used species),GBF_GB_C_11,living planet index (used species),component
Target 1,Priority retention of intact / wilderness areas,GBF_T1_C_14,priority retention of intact / wilderness areas,component
Target 2,Extent of natural ecosystems by type,GBF_T2_C_15,extent of natural ecosystems,component
Target 2,Maintenance and restoration of connectivity of natural ecosystems,GBF_T2_C_16,maintenance and restoration of connectivity of natural ecosystems,component
Target 3,Protected area coverage of key biodiversity areas,GBF_T3_C_17,protected area coverage of key biodiversity areas,component
Target 3,Protected Area Management Effectiveness (PAME),GBF_T3_C_18,protected area management effectiveness (pame),component
Target 3,Protconn,GBF_T3_C_19,protected connected (protconn) index,component
Target 3,Protected Area Connectedness Index (PARC-Connectedness),GBF_T3_C_20,protected area connectedness (parc-connectedness) index,component
Target 3,Red List of Ecosystems,GBF_T3_C_21,red list of ecosystems,component
Target 3,Connectivity Indicator (in development),GBF_T3_C_22,connectivity indicator,component
Target 3,The number of protected areas that have completed a site-level assessment of governance and equity (SAGE),GBF_T3_C_23,the number of protected areas that have completed a site-level assessment of governance and equity (sage),component
Target 3,Species Protection Index,GBF_T3_C_24,species protection index,component
Target 4,Living Planet Index,GBF_T4_C_25,living planet index,component
Target 4,Number of plant and animal genetic resources secured in medium or long-term conservation facilities,GBF_T4_C_26,number of plant and animal genetic resources secured in medium or long-term conservation facilities,component
Target 4,Trends in effective and sustainable management of human-wildlife conflict and coexistence,GBF_T4_C_27,trends in effective and sustainable management of human-wildlife conflict and coexistence,component
Target 4,Green Status of Species Index,GBF_T4_C_28,green status of species index,component
Target 4,Conservation status of species listed in the CITES Appendices has stabilized or improved,GBF_T4_C_29,conservation status of species listed in the cites appendices has stabilized or improved,component
Target 5,Red List Index for used species,GBF_T5_C_30,red list index (for utilized species),component
Target 5,Living Planet Index for used species,GBF_T5_C_31,living planet index (used species),component
Target 5,Sustainable use of Wild Species,GBF_T5_C_32,sustainable use of wild species,component
Target 6,Rate of invasive species impact and rate of impact,GBF_T6_C_33,rate of invasive species impact and rate of impact,component
Target 6,Rate of invasive alien species spread,GBF_T6_C_34,rate of invasive alien species spread,component
Target 6,Number of invasive alien species introduction events,GBF_T6_C_35,number of invasive alien species introduction events,component
Target 7,Fertilizer use,GBF_T7_C_36,fertilizer use,component
Target 7,Proportion of domestic and industrial wastewater flow safely treated,GBF_T7_C_37,proportion of domestic and industrial wastewater flows safely treated,component
Target 7,Floating plastic debris density [by micro and macro plastics],GBF_T7_C_38,plastic debris density,component
Target 7,Red List Index (impact of pollution),GBF_T7_C_39,red list index (impacts of pollution),component
Target 8,Total climate regulation services provided by ecosystems by ecosystem type (System of Environmental Economic Accounts),GBF_T8_C_40,total climate regulation services provided by ecosystems by ecosystem type (system of environmental economic accounts),component
Target 8,Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015-2030 which include biodiversity,GBF_T8_C_41,number of countries that adopt and implement national disaster risk reduction strategies in line with the sendai framework for disaster risk reduction 2015-2030,component
Target 8,National greenhouse inventories from land use and land use change,GBF_T8_C_42,national greenhouse inventories from land use and land use change,component
Target 8,Bioclimatic Ecosystem Resilience Index (BERI),GBF_T8_C_43,bioclimatic ecosystem resilience index (beri),component
Target 9,"Number of people using wild resources for energy, food or culture (including firewood collection, hunting and fishing, gathering, medicinal use, craft making, etc.)",GBF_T9_C_44,"number of people using wild resources for energy, food or culture (including firewood collection, hunting and fishing, gathering, medicinal use, craft making, etc.)",component
Target 9,Red List Index (species used for food and medicine),GBF_T9_C_45,red list index (for utilized species),component
Target 9,Living Planet Index (for used species),GBF_T9_C_46,living planet index (used species),component
