Goal/target,indicator_name,indicator_type,indic_id
Goal A,Red List of Ecosystems,Headline,GBF_GA_H_1
Goal A,Extent of natural ecosystems,Headline,GBF_GA_H_2
Goal A,Red List Index,Headline,GBF_GA_H_3
Goal A,The proportion of populations within species with an effective population size > 500,Headline,GBF_GA_H_4
Goal B,Services provided by ecosystems,Headline,GBF_GB_H_5
Goal B,"Number of countries with policies or actions for implementing and monitoring the sustainable use of biodiversity and the maintenance and enhancement of nature's contributions to people, including ecosystem functions and services",Binary,GBF_GB_H_6
Goal C,Monetary benefits received in accordance with applicable internationally agreed Access and Benefit-sharing instruments,Headline,GBF_GC_H_7
Goal C,Non-monetary benefits arising from applicable international Access and Benefit-sharing instruments,Headline,GBF_GC_H_8
Goal C,"Number of countries that have taken effective legal, policy, administrative and capacity-building measures at all levels, as appropriate, to ensure the fair and equitable sharing of benefits from the utilization of genetic resources and from digital sequence information on genetic resources, as well as traditional knowledge associated with genetic resources.",Binary,GBF_GC_H_9
Goal D,"International public funding, including official development assistance (ODA) for conservation and sustainable use of biodiversity and ecosystems",Headline,GBF_GD_H_10
Goal D,Domestic public funding on conservation and sustainable use of biodiversity and ecosystems,Headline,GBF_GD_H_11
Goal D,Private funding (domestic and international) on conservation and sustainable use of biodiversity and ecosystems,Headline,GBF_GD_H_12
Target 1,Red List of Ecosystems,Headline,GBF_T1_H_13
Target 1,Extent of natural ecosystems,Headline,GBF_T1_H_14
Target 1,Percentage of land and seas covered by biodiversity-inclusive spatial plans,Headline,GBF_T1_H_15
Target 1,"Number of countries using participatory, integrated and biodiversity-inclusive spatial planning or effective management processes to address land and sea use change.",Binary,GBF_T1_H_16
Target 2,Area under restoration,Headline,GBF_T2_H_17
Target 3,Coverage of protected areas and other effective area-based conservation measures,Headline,GBF_T3_H_18
Target 4,Red List Index,Headline,GBF_T4_H_19
Target 4,The proportion of populations within species with an effective population size > 500,Headline,GBF_T4_H_20
Target 5,Proportion of fish stocks within biologically sustainable levels,Headline,GBF_T5_H_21
Target 6,Rate of invasive alien species establishment,Headline,GBF_T6_H_22
Target 6,"Number of countries adopting relevant regulation, processes and measures and allocating resources to reduce the impact of invasive alien species.",Binary,GBF_T6_H_23
Target 7,Index of coastal eutrophication potential,Headline,GBF_T7_H_24
