Goal/target,Indicator name,Description,Status,Time series,Group,notes_ys,Update frequency,Data relevant at global scale,Data available/collated national scale,National methodology available,Institution,Other MEAs/Processes,BIP Indicator
Goal A,A.1 Red List of Ecosystems,,4,,Headline,,,,,,,,
Goal A,A.2 Extent of natural ecosystems,,4,,Headline,,,,,,,,
Goal A,A.3 Red List Index,,5,,Headline,,,,,,,,
Goal A,A.4 The proportion of populations within species with an effective population size > 500,,4,,Headline,,,,,,,,
Goal B,B.1 Services provided by ecosystems,,3,,Headline,,,,,,,,
Goal B,"B.b Number of countries with policies or actions for implementing and monitoring the sustainable use of biodiversity and the maintenance and enhancement of nature's contributions to people, including ecosystem functions and services",,N/A,,Binary,updated,,,,,,,
Goal C,C.1 Monetary benefits received in accordance with applicable internationally agreed Access and Benefit-sharing instruments,,2,,Headline,,,,,,,,
Goal C,C.2 Non-monetary benefits arising from applicable international Access and Benefit-sharing instruments,,3,,Headline,,,,,,,,
Goal C,"13.b Number of countries that have taken effective legal, policy, administrative and capacity-building measures at all levels, as appropriate, to ensure the fair and equitable sharing of benefits from the utilization of genetic resources and from digital sequence information on genetic resources, as well as traditional knowledge associated with genetic resources.",,N/A,,Binary,,,,,,,,
Goal D ,"D.1 International public funding, including official development assistance (ODA) for conservation and sustainable use of biodiversity and ecosystems",,5,,Headline,,,,,,,,
Goal D ,D.2 Domestic public funding on conservation and sustainable use of biodiversity and ecosystems,,4,,Headline,,,,,,,,
Goal D ,D.3 Private funding (domestic and international) on conservation and sustainable use of biodiversity and ecosystems,,2,,Headline,,,,,,,,
Target 1,A.1 Red List of Ecosystems,,4,,Headline,,,,,,,,
Target 1,A.2 Extent of natural ecosystems,,4,,Headline,,,,,,,,
Target 1,1.1 Percentage of land and seas covered by biodiversity-inclusive spatial plans,,1,,Headline,,,,,,,,
Target 1,"1.b Number of countries using participatory, integrated and biodiversity-inclusive spatial planning or effective management processes to address land and sea use change.",,N/A,,Binary,,,,,,,,
Target 2,2.1 Area under restoration,,4,,Headline,,,,,,,,
Target 3,3.1 Coverage of protected areas and other effective area-based conservation measures,,5,,Headline,,,,,,,,
Target 4,A.3 Red List Index,,5,,Headline,,,,,,,,
Target 4,A.4 The proportion of populations within species with an effective population size > 500,,4,,Headline,,,,,,,,
Target 5,5.1 Proportion of fish stocks within biologically sustainable levels,,5,,Headline,,,,,,,,
Target 6,6.1 Rate of invasive alien species establishment,,4,,Headline,,,,,,,,
Target 6,"6.b Number of countries adopting relevant regulation, processes and measures and allocating resources to reduce the impact of invasive alien species.",,N/A,,Binary,,,,,,,,
Target 7,7.1 Index of coastal eutrophication potential,,4,,Headline,,,,,,,,
Target 7,7.2 Aggregated Total Applied Toxicity,,3,,Headline,,,,,,,,
Target 8,8.b Number of countries with agreed policies to minimize the impact of climate change and ocean acidification on biodiversity and that minimize negative and foster positive impacts of climate action on biodiversity.,,N/A,,Binary,,,,,,,,
Target 9,9.1 Benefits from the sustainable use of wild species,,1,,Headline,,,,,,,,
Target 9,9.2 Percentage of the population in traditional occupations,,3,,Headline,,,,,,,,
