goal,target,indicator_orig,indic_id,indicator_harmonized,note_indic
Goal 1: Addressing the drivers of wetland loss and degradation,"Wetland benefits are featured in national/ local policy strategies and plans relating to key sectors such as water, energy, mining, agriculture, tourism, urban development, infrastructure, industry, forestry, aquaculture, fisheries at the national and local level",% of Parties that have made assessment of ecosystem services of Ramsar Sites. (Data source: National Reports),RAMSAR_SG1.1_1,percentage of parties that have made assessment of ecosystem services of ramsar sites,NA
Goal 1: Addressing the drivers of wetland loss and degradation,"Wetland benefits are featured in national/ local policy strategies and plans relating to key sectors such as water, energy, mining, agriculture, tourism, urban development, infrastructure, industry, forestry, aquaculture, fisheries at the national and local level",% of Parties that have included wetland issues within national strategies and planning processes such as water resource management and water efficiency plans. (Data source: National Reports),RAMSAR_SG1.1_2,percentage of parties that have included wetland issues within national strategies and planning processes such as water resource management and water efficiency plans,NA
Goal 1: Addressing the drivers of wetland loss and degradation,"Wetland benefits are featured in national/ local policy strategies and plans relating to key sectors such as water, energy, mining, agriculture, tourism, urban development, infrastructure, industry, forestry, aquaculture, fisheries at the national and local level",% of Parties that have included wetland issues within National Policies or measures on agriculture. (Data source: National Reports).,RAMSAR_SG1.1_3,percentage of parties that have included wetland issues within national policies or measures on agriculture,NA
Goal 1: Addressing the drivers of wetland loss and degradation,Water use respects wetland ecosystem needs for them to fulfil their functions and provide services at the appropriate scale inter alia at the basin level or along a coastal zone.,% of Parties that have included wetland issues into national strategies and in the planning processes such as for water resource management and water efficiency plans. (Data source: National Reports).,RAMSAR_SG1.2_4,percentage of parties that have included wetland issues within national strategies and planning processes such as water resource management and water efficiency plans,NA
Goal 1: Addressing the drivers of wetland loss and degradation,Water use respects wetland ecosystem needs for them to fulfil their functions and provide services at the appropriate scale inter alia at the basin level or along a coastal zone.,% of Ramsar sites which have improved the sustainability of water use in the context of ecosystem requirements,RAMSAR_SG1.2_5,percentage of ramsar sites which have improved the sustainability of water use in the context of ecosystem requirements,for future development
Goal 1: Addressing the drivers of wetland loss and degradation,The public and private sectors have increased their efforts to apply guidelines and good practices for the wise use of water and wetlands.,% of Parties reporting actions taken to implement incentive measures that encourage the conservation and wise use of wetlands. (Data source: National Reports).,RAMSAR_SG1.3_6,percentage of parties reporting actions taken to implement incentive measures that encourage the conservation and wise use of wetlands,NA
Goal 1: Addressing the drivers of wetland loss and degradation,The public and private sectors have increased their efforts to apply guidelines and good practices for the wise use of water and wetlands.,% of Parties reporting actions taken to remove perverse incentive measures that discourage conservation and wise use of wetlands. (Data source: National Reports).,RAMSAR_SG1.3_7,percentage of parties reporting actions taken to remove perverse incentive measures that discourage conservation and wise use of wetlands,NA
Goal 1: Addressing the drivers of wetland loss and degradation,The public and private sectors have increased their efforts to apply guidelines and good practices for the wise use of water and wetlands.,"% of Parties reporting private sector undertaking activities for the conservation, wise use and management of wetlands in general. (Data source: National Reports).",RAMSAR_SG1.3_8,"percentage of parties reporting private sector undertaking activities for the conservation, wise use and management of wetlands in general",NA
Goal 1: Addressing the drivers of wetland loss and degradation,The public and private sectors have increased their efforts to apply guidelines and good practices for the wise use of water and wetlands.,% of Parties having national Ramsar Committees that include both governmental and non-governmental representation. (Data source: new question for National Reports).,RAMSAR_SG1.3_9,percentage of parties having national ramsar committees that include both governmental and non-governmental representation,NA
Goal 1: Addressing the drivers of wetland loss and degradation,"Invasive alien species and pathways of introduction and expansion are identified and prioritized, priority invasive alien species are controlled or eradicated, and management responses are prepared and implemented to prevent their ntroduction and establishment.",% of Parties that have established or reviewed national policies or guidelines on invasive wetland species control and management. (Data source: National Reports).,RAMSAR_SG1.4_10,percentage of parties that have established or reviewed national policies or guidelines on invasive wetland species control and management,NA
Goal 1: Addressing the drivers of wetland loss and degradation,"Invasive alien species and pathways of introduction and expansion are identified and prioritized, priority invasive alien species are controlled or eradicated, and management responses are prepared and implemented to prevent their ntroduction and establishment.",% of Parties having a national inventory of invasive alien species that currently or potentially impact the ecological character of wetlands. (Data source: National Reports).,RAMSAR_SG1.4_11,percentage of parties having a national inventory of invasive alien species that currently or potentially impact the ecological character of wetlands,NA
Goal 1: Addressing the drivers of wetland loss and degradation,"Invasive alien species and pathways of introduction and expansion are identified and prioritized, priority invasive alien species are controlled or eradicated, and management responses are prepared and implemented to prevent their ntroduction and establishment.",Number of invasive species that are being controlled through management actions,RAMSAR_SG1.4_12,number of invasive species that are being controlled through management actions,for future development
Goal 1: Addressing the drivers of wetland loss and degradation,"Invasive alien species and pathways of introduction and expansion are identified and prioritized, priority invasive alien species are controlled or eradicated, and management responses are prepared and implemented to prevent their ntroduction and establishment.",Effectiveness of wetland invasive alien species control programmes,RAMSAR_SG1.4_13,effectiveness of wetland invasive alien species control programmes,for future development
Goal 2: Effectively conserving and managing the Ramsar Site network,"The ecological character of Ramsar Sites is maintained or restored, through effective planning and integrated management","Number of Ramsar Sites that have effective, implemented management plans. (Data source: National Report).",RAMSAR_SG2.5_14,"number of ramsar sites that have effective, implemented management plans",NA
Goal 2: Effectively conserving and managing the Ramsar Site network,"The ecological character of Ramsar Sites is maintained or restored, through effective planning and integrated management","Number of Ramsar Sites that have effective, implemented management planning. (Data source: new National Report question).",RAMSAR_SG2.5_15,"number of ramsar sites that have effective, implemented management plans",NA
Goal 2: Effectively conserving and managing the Ramsar Site network,"The ecological character of Ramsar Sites is maintained or restored, through effective planning and integrated management",% of Parties that have made assessments of effective management of Ramsar Sites. (Data source: National Reports).,RAMSAR_SG2.5_16,percentage of parties that have made assessments of effective management of ramsar sites,NA
Goal 2: Effectively conserving and managing the Ramsar Site network,"The ecological character of Ramsar Sites is maintained or restored, through effective planning and integrated management",% of Ramsar Sites that have updated Ramsar Information Sheets. (Data source: Ramsar Sites database).,RAMSAR_SG2.5_17,percentage of ramsar sites that have updated ramsar information sheets,NA
Goal 2: Effectively conserving and managing the Ramsar Site network,"The ecological character of Ramsar Sites is maintained or restored, through effective planning and integrated management",Coverage of wetland dependent bird populations by designated Ramsar Sites. Indicator from Resolution IX.1 to be developed.,RAMSAR_SG2.5_18,coverage of wetland dependent bird populations by designated ramsar sites,for future development
Goal 2: Effectively conserving and managing the Ramsar Site network,"The ecological character of Ramsar Sites is maintained or restored, through effective planning and integrated management",Coverage of wetland dependent non-avian populations by designated Ramsar Sites. Indicator from Resolution IX.1 to be developed.,RAMSAR_SG2.5_19,coverage of wetland dependent non-avian populations by designated ramsar sites,for future development
Goal 2: Effectively conserving and managing the Ramsar Site network,"The ecological character of Ramsar Sites is maintained or restored, through effective planning and integrated management",% loss of IUCN Red Listed species from Ramsar Sites,RAMSAR_SG2.5_20,percentage loss of red list indexed species from ramsar sites,for future development
Goal 2: Effectively conserving and managing the Ramsar Site network,"There is a significant increase in area, numbers and ecological connectivity in the Ramsar Site network in particular under-represented types of wetlands including in under-represented ecoregions and transboundary sites",Number of Ramsar sites that have been designated. (Data source: Ramsar Sites database).,RAMSAR_SG2.6_21,number of ramsar sites that have been designated,NA
