indicator_orig,indic_id,indicator_harmonized
Red List of Ecosystems,GBF_GA_H_1,red list of ecosystems
Extent of natural ecosystems,GBF_GA_H_2,extent of natural ecosystems
Red List Index,GBF_GA_H_3,red list index
The proportion of populations within species with an effective population size > 500,GBF_GA_H_4,proportion of populations within species with an effective population size > 500
Services provided by ecosystems,GBF_GB_H_5,services provided by ecosystems
"Number of countries with policies or actions for implementing and monitoring the sustainable use of biodiversity and the maintenance and enhancement of nature's contributions to people, including ecosystem functions and services",GBF_GB_H_6,"number of countries with policies or actions for implementing and monitoring the sustainable use of biodiversity and the maintenance and enhancement of nature's contributions to people, including ecosystem functions and services"
Monetary benefits received in accordance with applicable internationally agreed Access and Benefit-sharing instruments,GBF_GC_H_7,monetary benefits received in accordance with applicable internationally agreed access and benefit-sharing instruments
Non-monetary benefits arising from applicable international Access and Benefit-sharing instruments,GBF_GC_H_8,non-monetary benefits arising from applicable international access and benefit-sharing instruments
"Number of countries that have taken effective legal, policy, administrative and capacity-building measures at all levels, as appropriate, to ensure the fair and equitable sharing of benefits from the utilization of genetic resources and from digital sequence information on genetic resources, as well as traditional knowledge associated with genetic resources.",GBF_GC_H_9,"number of countries that have taken effective legal, policy, administrative and capacity-building measures at all levels, as appropriate, to ensure the fair and equitable sharing of benefits from the utilization of genetic resources and from digital sequence information on genetic resources, as well as traditional knowledge associated with genetic resources"
"International public funding, including official development assistance (ODA) for conservation and sustainable use of biodiversity and ecosystems",GBF_GD_H_10,"international public funding, including official development assistance (oda) for conservation and sustainable use of biodiversity and ecosystems"
Domestic public funding on conservation and sustainable use of biodiversity and ecosystems,GBF_GD_H_11,domestic public funding on conservation and sustainable use of biodiversity and ecosystems
Private funding (domestic and international) on conservation and sustainable use of biodiversity and ecosystems,GBF_GD_H_12,private funding (domestic and international) on conservation and sustainable use of biodiversity and ecosystems
Red List of Ecosystems,GBF_T1_H_13,red list of ecosystems
Extent of natural ecosystems,GBF_T1_H_14,extent of natural ecosystems
Percentage of land and seas covered by biodiversity-inclusive spatial plans,GBF_T1_H_15,percentage of land and seas covered by biodiversity-inclusive spatial plans
"Number of countries using participatory, integrated and biodiversity-inclusive spatial planning or effective management processes to address land and sea use change.",GBF_T1_H_16,"number of countries using participatory, integrated and biodiversity-inclusive spatial planning or effective management processes to address land and sea use change"
Area under restoration,GBF_T2_H_17,area under restoration
Coverage of protected areas and other effective area-based conservation measures,GBF_T3_H_18,coverage of protected areas and other effective area-based conservation measures
Red List Index,GBF_T4_H_19,red list index
The proportion of populations within species with an effective population size > 500,GBF_T4_H_20,proportion of populations within species with an effective population size > 500
Proportion of fish stocks within biologically sustainable levels,GBF_T5_H_21,proportion of fish stocks within biologically sustainable levels
Rate of invasive alien species establishment,GBF_T6_H_22,rate of invasive alien species establishment
"Number of countries adopting relevant regulation, processes and measures and allocating resources to reduce the impact of invasive alien species.",GBF_T6_H_23,"number of countries adopting relevant regulation, processes and measures and allocating resources to reduce the impact of invasive alien species"
Index of coastal eutrophication potential,GBF_T7_H_24,index of coastal eutrophication potential (icep)
Aggregated Total Applied Toxicity,GBF_T7_H_25,aggregated total applied toxicity
Number of countries with agreed policies to minimize the impact of climate change and ocean acidification on biodiversity and that minimize negative and foster positive impacts of climate action on biodiversity.,GBF_T8_H_26,number of countries with agreed policies to minimize the impact of climate change and ocean acidification on biodiversity and that minimize negative and foster positive impacts of climate action on biodiversity
Benefits from the sustainable use of wild species,GBF_T9_H_27,benefits from the sustainable use of wild species
