error,indicator_harmonized,indic_ids,sources,policy,Categories,Subcategories,Categories_2,Subcategories_2
,1-in-100-year return period level (etwl),IPCC_sup_52,IPCC,0,ecosystems,Abiotic conditions,Direct drivers,Climate change
,10-day cumulative precipitation,IPCC_12_17_597,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,15n/14n isotope ratio,IPCC_5_36_279,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,2 m air temperatures,IPCC_12_15_596,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,ability of ecosystems to absorb and buffer hazards,GA_2.3_42_143,IPBES,0,Ecosystem services,Nature contribution,NA,NA
,abnormal occurrences in the territory,SUA_2_95_77,IPBES,0,Knowledge systems,ILK,Knowledge systems,Specific information on human-nature relationship
,above-ground biomass,GA_2.2_37_70;GA_2.2_39_76;IPBES_GA2.2_sup_1,IPBES,0,ecosystems,State of ecosystems,NA,NA
,above-ground biomass in forests,GBF_T8_CY_181;GA_2.3_39_137,GBF;IPBES,1,ecosystems,State of ecosystems,NA,NA
,absence of conflict as indicator of political stability,GA_2_24_29,IPBES,0,Knowledge systems,Information on society and socio-economics,NA,NA
,absolute global forcing potential (agfp),IPCC_7_91_360,IPCC,0,Direct drivers,Climate change,NA,NA
,absolute global temperature change potential (agtp),IPCC_7_91_360,IPCC,0,Direct drivers,Climate change,NA,NA
,abundance and location of habitat,SUA_4_78_130,IPBES,0,ecosystems,State of ecosystems,NA,NA
,abundance of food species,SUA_2_96_79,IPBES,0,Knowledge systems,ILK,Ecosystem services,Nature contribution
,abundance of managed and wild pollinators,GA_2.3_42_143,IPBES,0,biodiversity,State of biodiversity,NA,NA
,abundance of preferred harvest species,SUA_2_97_80,IPBES,0,Knowledge systems,ILK,Ecosystem services,Nature contribution
,access to electricity,IPBES_GA2.1_sup_15,IPBES,0,Human assets,Coverage of basic needs,NA,NA
,access to improved sanitation facilities,GA_2_109_44;IPBES_GA2.1_sup_6,IPBES,0,Human assets,Coverage of basic needs,NA,NA
,access to land,SUA_4_149_137,IPBES,0,Human well-being,Equity,NA,NA
,accessibility of resources,SUA_2_95_77,IPBES,0,Knowledge systems,ILK,Ecosystem services,Nature contribution
,accumulated cyclone energy (ace),IPCC_11_79_569,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,accumulated seasonal heat,IPCC_12_14_594,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,achievement of a circular economic system,GEO_17_20_212,GEO,0,Knowledge systems,Information on society and socio-economics,NA,NA
,activity status/viability of cms family of instruments,CMS_G1.3_4,CMS,1,Governance,Nature-based legislation,NA,NA
,adaptive capacity index (aci),GA_4_129_208,IPBES,0,biodiversity,State of biodiversity,NA,NA
,additional financial resources mobilized for developing countries from multiple sources,SDG_G17.3.1_239,SDG,1,Governance,Nature-based funding,NA,NA
,"adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",SDG_G3.7.2_43,SDG,1,Human assets,Coverage of basic needs,Knowledge systems,Information on society and socio-economics
,advanced malaria control,GEO_22_21_257,GEO,0,Human well-being,Healthy living conditions,Direct drivers,(Infectious) diseases
,adverse changes in woody or shrubby vegetation,GA_2.2_81_123,IPBES,0,ecosystems,Change in ecosystems,NA,NA
,adverse changes of unpalatable species,GA_2.2_81_123,IPBES,0,biodiversity,Change in biodiversity,NA,NA
,aerosol abundance,IPCC_2_24_45,IPCC,0,Direct drivers,Pollution,NA,NA
,aerosol changes,IPCC_3_17_173,IPCC,0,Direct drivers,Climate change,NA,NA
,aerosol index,IPCC_7_29_329,IPCC,0,Direct drivers,Pollution,NA,NA
,age-standardized prevalence of current tobacco use among persons aged 15 years and older,SDG_G3.a.1_49,SDG,1,Human assets,Coverage of basic needs,Knowledge systems,Information on society and socio-economics
,aggregated total applied toxicity,GBF_T7_H_25,GBF,1,Direct drivers,Pollution,NA,NA
,agricultural emissions from different farming sectors,GEO_17_11_203,GEO,0,Direct drivers,Pollution,NA,NA
,agricultural employment and landholders,GEO_3_10_20,GEO,0,Human assets,Income,NA,NA
,agricultural export subsidies,SDG_G2.b.1_26;IPBES_SUA_sup_2.b.1_24,SDG;IPBES,1,Governance,Legislation/governance,NA,NA
,agricultural land,IPBES_GA2.1_sup_30,IPBES,0,Direct drivers,Land conversion,Ecosystem services,Nature contribution
,agricultural water withdrawal,IPBES_GA2.1_sup_58,IPBES,0,Ecosystem services,Nature contribution,NA,NA
,agriculture orientation index for government expenditures,SDG_G2.a.1_24;IPBES_SUA_sup_2.a.1_22,SDG;IPBES,1,Direct drivers,Land conversion,NA,NA
,agriculture-based materials produced (tons),GA_2.3_42_143,IPBES,0,Ecosystem services,Nature contribution,NA,NA
,agro-biodiversity,GEO_23_24_262,GEO,0,biodiversity,State of biodiversity,NA,NA
,agrobiodiversity index,GBF_T10_CY_193,GBF,1,Ecosystem services,Nature contribution,biodiversity,State of biodiversity
,aid for trade commitments and disbursements,SDG_G8.a.1_115;IPBES_SUA_sup_8.a.1_57,SDG;IPBES,1,Governance,Nature-based funding,NA,NA
,air departures,IPBES_GA2.1_sup_39,IPBES,0,Human assets,Infrastructure (build-up area),NA,NA
,air emission accounts,GBF_T11_CY_199,GBF,1,Direct drivers,Climate change,NA,NA
,air moisture,IPCC_2_52_82,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,air passengers,IPBES_GA2.1_sup_38,IPBES,0,Direct drivers,Pollution,Direct drivers,Invasive alien species
,air pollution,GA_2_83_42;IPBES_GA2.1_sup_44,IPBES,0,Direct drivers,Pollution,NA,NA
,air pollution emissions account,GBF_GB_CY_62,GBF,1,Direct drivers,Pollution,NA,NA
,air pollution exposure,GEO_5_19_45,GEO,0,Direct drivers,Pollution,NA,NA
,air quality,GA_3_123_420;GEO_20_6_228,IPBES;GEO,0,ecosystems,Abiotic conditions,NA,NA
,air quality index,GBF_GB_CY_61;GEO_12_12_111,GBF;GEO,1,ecosystems,Abiotic conditions,Human well-being,Healthy living conditions
,alcohol per capita consumption (aged 15 years and older) within a calendar year in litres of pure alcohol,SDG_G3.5.2_40,SDG,1,Human assets,Coverage of basic needs,NA,NA
,alcohol use,GEO_21_17_251,GEO,0,Human well-being,Healthy living conditions,Human well-being,Recreation
x,alien species,GA_2_118_47,IPBES,0,Direct drivers,Invasive alien species,NA,NA
,alien species occurrence,IAS_6_114_165,IPBES,0,Direct drivers,Invasive alien species,NA,NA
x,alien species richness,GA_2_83_42;IAS_3_8_84,IPBES,0,Direct drivers,Invasive alien species,biodiversity,State of biodiversity
,altering of the carbon and biogeochemical cycles,GEO_2_26_7,GEO,0,ecosystems,Abiotic conditions,NA,NA
,alternative and nuclear energy (percentage of total energy use),IPBES_GA2.1_sup_16,IPBES,0,Human assets,Infrastructure (build-up area),Ecosystem services,Specific mention of sustainable use of species/ecosystems
,amend policies that lead to destruction of mangroves,GEO_17_8_200,GEO,0,Governance,Nature detrimental legislation,NA,NA
,amoc,IPCC_1_70_30,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,amount and composition of biodiversity-related finance reported to the oecd creditor reporting system,GBF_T19_CY_239,GBF,1,Governance,Nature-based legislation,NA,NA
,amount in united states dollars committed to public-private partnerships for infrastructure,SDG_G17.17.1_254;IPBES_SUA_sup_17.17.1_153,SDG;IPBES,1,Human assets,Infrastructure (build-up area),NA,NA
