indicator_harmonized,indic_ids,sources,policy,Categories,Categories_2,Subcategories,Subcategories_2
1-in-100-year return period level (etwl),IPCC_sup_52,IPCC,0,ecosystems,Direct drivers,Abiotic conditions,Climate change
10-day cumulative precipitation,IPCC_12_17_597,IPCC,0,ecosystems,NA,Abiotic conditions,NA
15n/14n isotope ratio,IPCC_5_36_279,IPCC,0,ecosystems,NA,Abiotic conditions,NA
2 m air temperatures,IPCC_12_15_596,IPCC,0,ecosystems,NA,Abiotic conditions,NA
ability of ecosystems to absorb and buffer hazards,IPBES_GA_2.3_42_143,IPBES,0,Ecosystem services,NA,Nature contribution,NA
abnormal occurrences in the territory,IPBES_SUA_2_95_77,IPBES,0,Knowledge systems,Knowledge systems,ILK,Specific information on human-nature relationship
above-ground biomass,IPBES_GA_2.2_37_70;IPBES_GA_2.2_39_76;IPBES_GA2.2_sup_1,IPBES,0,ecosystems,NA,State of ecosystems,NA
above-ground biomass in forests,GBF_T8_CY_181;IPBES_GA_2.3_39_137,GBF;IPBES,1,ecosystems,NA,State of ecosystems,NA
absence of conflict as indicator of political stability,IPBES_GA_2_24_29,IPBES,0,Knowledge systems,NA,Information on society and socio-economics,NA
absolute global forcing potential (agfp),IPCC_7_91_360,IPCC,0,Direct drivers,NA,Climate change,NA
absolute global temperature change potential (agtp),IPCC_7_91_360,IPCC,0,Direct drivers,NA,Climate change,NA
abundance and location of habitat,IPBES_SUA_4_78_130,IPBES,0,ecosystems,NA,State of ecosystems,NA
abundance of food species,IPBES_SUA_2_96_79,IPBES,0,Knowledge systems,Ecosystem services,ILK,Nature contribution
abundance of managed and wild pollinators,IPBES_GA_2.3_42_143,IPBES,0,biodiversity,NA,State of biodiversity,NA
abundance of preferred harvest species,IPBES_SUA_2_97_80,IPBES,0,Knowledge systems,Ecosystem services,ILK,Nature contribution
access to electricity,IPBES_GA2.1_sup_15,IPBES,0,Human assets,NA,Coverage of basic needs,NA
access to improved sanitation facilities,IPBES_GA_2_109_44;IPBES_GA2.1_sup_6,IPBES,0,Human assets,NA,Coverage of basic needs,NA
access to land,IPBES_SUA_4_149_137,IPBES,0,Human well-being,NA,Equity,NA
accessibility of resources,IPBES_SUA_2_95_77,IPBES,0,Knowledge systems,Ecosystem services,ILK,Nature contribution
accumulated cyclone energy (ace),IPCC_11_79_569,IPCC,0,ecosystems,NA,Abiotic conditions,NA
accumulated seasonal heat,IPCC_12_14_594,IPCC,0,ecosystems,NA,Abiotic conditions,NA
achievement of a circular economic system,GEO_17_20_212,GEO,0,Knowledge systems,NA,Information on society and socio-economics,NA
activity status/viability of cms family of instruments,CMS_G1.3_4,CMS,1,Governance,NA,Nature-based legislation,NA
adaptive capacity index (aci),IPBES_GA_4_129_208,IPBES,0,biodiversity,NA,State of biodiversity,NA
additional financial resources mobilized for developing countries from multiple sources,SDG_G17.3.1_239,SDG,1,Governance,NA,Nature-based funding,NA
"adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",SDG_G3.7.2_43,SDG,1,Human assets,Knowledge systems,Coverage of basic needs,Information on society and socio-economics
advanced malaria control,GEO_22_21_257,GEO,0,Human well-being,Direct drivers,Healthy living conditions,(Infectious) diseases
adverse changes in woody or shrubby vegetation,IPBES_GA_2.2_81_123,IPBES,0,ecosystems,NA,Change in ecosystems,NA
adverse changes of unpalatable species,IPBES_GA_2.2_81_123,IPBES,0,biodiversity,NA,Change in biodiversity,NA
aerosol abundance,IPCC_2_24_45,IPCC,0,Direct drivers,NA,Pollution,NA
aerosol changes,IPCC_3_17_173,IPCC,0,Direct drivers,NA,Climate change,NA
aerosol index,IPCC_7_29_329,IPCC,0,Direct drivers,NA,Pollution,NA
age-standardized prevalence of current tobacco use among persons aged 15 years and older,SDG_G3.a.1_49,SDG,1,Human assets,Knowledge systems,Coverage of basic needs,Information on society and socio-economics
aggregated total applied toxicity,GBF_T7_H_25,GBF,1,Direct drivers,NA,Pollution,NA
agricultural emissions from different farming sectors,GEO_17_11_203,GEO,0,Direct drivers,NA,Pollution,NA
agricultural employment and landholders,GEO_3_10_20,GEO,0,Human assets,NA,Income,NA
agricultural export subsidies,SDG_G2.b.1_26;IPBES_SUA_sup_2.b.1_24,SDG;IPBES,1,Governance,NA,Legislation/governance,NA
agricultural land,IPBES_GA2.1_sup_30,IPBES,0,Direct drivers,Ecosystem services,Land conversion,Nature contribution
agricultural water withdrawal,IPBES_GA2.1_sup_58,IPBES,0,Ecosystem services,NA,Nature contribution,NA
agriculture orientation index for government expenditures,SDG_G2.a.1_24;IPBES_SUA_sup_2.a.1_22,SDG;IPBES,1,Direct drivers,NA,Land conversion,NA
agriculture-based materials produced (tons),IPBES_GA_2.3_42_143,IPBES,0,Ecosystem services,NA,Nature contribution,NA
agro-biodiversity,GEO_23_24_262,GEO,0,biodiversity,NA,State of biodiversity,NA
agrobiodiversity index,GBF_T10_CY_193,GBF,1,Ecosystem services,biodiversity,Nature contribution,State of biodiversity
aid for trade commitments and disbursements,SDG_G8.a.1_115;IPBES_SUA_sup_8.a.1_57,SDG;IPBES,1,Governance,NA,Nature-based funding,NA
air departures,IPBES_GA2.1_sup_39,IPBES,0,Human assets,NA,Infrastructure (build-up area),NA
air emission accounts,GBF_T11_CY_199,GBF,1,Direct drivers,NA,Climate change,NA
air moisture,IPCC_2_52_82,IPCC,0,ecosystems,NA,Abiotic conditions,NA
air passengers,IPBES_GA2.1_sup_38,IPBES,0,Direct drivers,Direct drivers,Pollution,Invasive alien species
air pollution,IPBES_GA_2_83_42;IPBES_GA2.1_sup_44,IPBES,0,Direct drivers,NA,Pollution,NA
air pollution emissions account,GBF_GB_CY_62,GBF,1,Direct drivers,NA,Pollution,NA
air pollution exposure,GEO_5_19_45,GEO,0,Direct drivers,NA,Pollution,NA
air quality,IPBES_GA_3_123_420;GEO_20_6_228,IPBES;GEO,0,ecosystems,NA,Abiotic conditions,NA
air quality index,GBF_GB_CY_61;GEO_12_12_111,GBF;GEO,1,ecosystems,Human well-being,Abiotic conditions,Healthy living conditions
alcohol per capita consumption (aged 15 years and older) within a calendar year in litres of pure alcohol,SDG_G3.5.2_40,SDG,1,Human assets,NA,Coverage of basic needs,NA
alcohol use,GEO_21_17_251,GEO,0,Human well-being,Human well-being,Healthy living conditions,Recreation
alien species,IPBES_GA_2_118_47,IPBES,0,Direct drivers,NA,Invasive alien species,NA
alien species occurrence,IPBES_IAS_6_114_165,IPBES,0,Direct drivers,NA,Invasive alien species,NA
alien species richness,IPBES_GA_2_83_42;IPBES_IAS_3_8_84,IPBES,0,Direct drivers,biodiversity,Invasive alien species,State of biodiversity
altering of the carbon and biogeochemical cycles,GEO_2_26_7,GEO,0,ecosystems,NA,Abiotic conditions,NA
alternative and nuclear energy (percentage of total energy use),IPBES_GA2.1_sup_16,IPBES,0,Human assets,Ecosystem services,Infrastructure (build-up area),Specific mention of sustainable use of species/ecosystems
amend policies that lead to destruction of mangroves,GEO_17_8_200,GEO,0,Governance,NA,Nature detrimental legislation,NA
amoc,IPCC_1_70_30,IPCC,0,ecosystems,NA,Abiotic conditions,NA
amount and composition of biodiversity-related finance reported to the oecd creditor reporting system,GBF_T19_CY_239,GBF,1,Governance,NA,Nature-based legislation,NA
amount in united states dollars committed to public-private partnerships for infrastructure,SDG_G17.17.1_254;IPBES_SUA_sup_17.17.1_153,SDG;IPBES,1,Human assets,NA,Infrastructure (build-up area),NA
amount of biodiversity-related philanthropic funding,GBF_T19_CY_242,GBF,1,Governance,NA,Nature-based funding,NA
amount of fossil-fuel subsidies per unit of gross domestic product (production and consumption),GBF_T18_CY_236;SDG_G12.c.1_174;IPBES_SUA_sup_12.c.1_101,GBF;SDG;IPBES,1,Governance,NA,Nature detrimental legislation,NA
amount of funding provided through the global environment facility and allocated to the biodiversity focal area,GBF_T19_CY_237,GBF,1,Governance,NA,Nature-based funding,NA
amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan,SDG_G6.a.1_92;IPBES_SUA_sup_6.a.1_37,SDG;IPBES,1,Human assets,NA,Coverage of basic needs,NA
amounts provided and mobilized in united states dollars per year in relation to the continued existing collective mobilization goal of the $100 billion commitment through to 2025,SDG_G13.a.1_181;IPBES_SUA_sup_13.a.1_108,SDG;IPBES,1,Human assets,NA,State of economy,NA
animal behavior,IPBES_GA_2.3_40_140,IPBES,0,Knowledge systems,biodiversity,ILK,State of biodiversity
annual count of days when precipitation is greater than or equal to 10 mm,IPCC_sup_24,IPCC,0,ecosystems,Direct drivers,Abiotic conditions,Climate change
annual count of days when precipitation is greater than or equal to 20 mm,IPCC_sup_25,IPCC,0,ecosystems,Direct drivers,Abiotic conditions,Climate change
annual count of days when precipitation is greater than or equal to 5 mm,IPCC_sup_23,IPCC,0,ecosystems,Direct drivers,Abiotic conditions,Climate change
annual count of days when precipitation is greater than or equal to 50 mm,IPCC_sup_26,IPCC,0,ecosystems,Direct drivers,Abiotic conditions,Climate change
annual growth rate of real gross domestic product,SDG_G8.1.1_100;IPBES_SUA_sup_8.1.1_44,SDG;IPBES,1,Human assets,NA,Income,NA
annual growth rate of real gross domestic product per employed person,SDG_G8.2.1_101;IPBES_SUA_sup_8.2.1_45,SDG;IPBES,1,Human assets,NA,Income,NA
annual gsat change,IPCC_1_50_21,IPCC,0,ecosystems,NA,Abiotic conditions,NA
annual ice volume,IPCC_1_50_21,IPCC,0,ecosystems,NA,State of ecosystems,NA
annual mean levels of fine particulate matter in cities,GBF_T11_C_51;SDG_G11.6.2_153;IPBES_SUA_sup_11.6.2_83,GBF;SDG;IPBES,1,Direct drivers,ecosystems,Pollution,State of ecosystems (integrity)
annual mean wind speed,IPCC_sup_50,IPCC,0,ecosystems,NA,Abiotic conditions,NA
annual precipitation amount when the daily precipitation exceeds the 99th percentile of the wet-day precipitation,IPCC_sup_30,IPCC,0,ecosystems,Direct drivers,Abiotic conditions,Climate change
annual precipitation from daily precipitation > 95th percentile (r95p),IPCC_11_53_541,IPCC,0,ecosystems,NA,Abiotic conditions,NA
annual rate of net forest loss,IPBES_GA_3_27_356;IPBES_GA_3_27_356,IPBES,0,ecosystems,NA,Change in ecosystems,NA
annual total precipitation when the daily precipitation exceeds the 95th percentile of the wet-day (>1 mm) precipitation,IPCC_sup_29,IPCC,0,ecosystems,Direct drivers,Abiotic conditions,Climate change
annual tropical primary tree cover loss,GBF_T2_CY_118,GBF,1,ecosystems,NA,Change in ecosystems,NA
annular mode index,IPCC_4_51_251,IPCC,0,ecosystems,NA,Abiotic conditions,NA
antarctic ice cores,IPCC_1_13_4,IPCC,0,ecosystems,Direct drivers,State of ecosystems,Climate change
antarctic ice sheet loss,IPCC_7_55_334,IPCC,0,ecosystems,NA,Change in ecosystems,NA
anthropogenic emissions of long-lived greenhouse gases (co2 equivalents),GEO_12_15_115,GEO,0,Direct drivers,NA,Pollution,NA
anthropogenic emissions of long-lived greenhouse gases (ghg emissions),GEO_12_18_121,GEO,0,Direct drivers,NA,Pollution,NA
antimicrobial resistence in pathogens,GEO_4_15_35,GEO,0,biodiversity,NA,State of biodiversity,NA
appearance of new grass in grazing areas,IPBES_VA_3_6_54,IPBES,0,Knowledge systems,NA,ILK,NA
arctic sea ice area,IPCC_4_7_219;IPCC_9_37_433,IPCC,0,ecosystems,NA,State of ecosystems,NA
arctic species trend index,IPBES_GA_3_169_443;GEO_6_24_60,IPBES;GEO,0,biodiversity,NA,Change in biodiversity,NA
"area and percent of forests managed primarily to protect the range of cultural, social and spiritual needs and values",IPBES_SUA_2_92_69,IPBES,0,Knowledge systems,Knowledge systems,Specific information on ILK and IPLC,Specific information on human-nature relationship
area and percent of forests used for subsistence purposes,IPBES_SUA_2_92_69,IPBES,0,Ecosystem services,NA,Nature contribution,NA
area of agricultural land under conservation,IPBES_GA_1_52_19;IPBES_GA_3_15_329;IPBES_GA3_sup_28,IPBES,0,ecosystems,Direct drivers,Area conservation,Land conversion
area of agricultural land under organic production,IPBES_GA_3_15_329;IPBES_GA2.1_sup_34;IPBES_GA3_sup_27,IPBES,0,Direct drivers,Ecosystem services,Land conversion,Nature contribution
area of floodplain wetlands,IPBES_GA_2.3_39_137,IPBES,0,ecosystems,NA,State of ecosystems,NA
area of forest under sustainable management,GBF_T10_C_47;IPBES_GA_3_72_395;IPBES_GA3_sup_29,GBF;IPBES,1,Ecosystem services,ecosystems,Specific mention of sustainable use of species/ecosystems,Area conservation
area of natural and traditional landscapes and seascapes,IPBES_GA_2.3_42_143,IPBES,0,ecosystems,NA,State of ecosystems,NA
area under restoration,GBF_T2_H_17,GBF,1,ecosystems,NA,Restoration efforts,NA
areas below calcium carbonate saturation thresholds,IPCC_12_24_615,IPCC,0,ecosystems,NA,Abiotic conditions,NA
arrival of new native and alien species,IPBES_GA_2.2_6_56,IPBES,0,Direct drivers,NA,Invasive alien species,NA
