indicator_harmonized,indic_ids,source,Categories,Categories_2,Subcategories,Subcategories_2,policy,mea,assess
1-in-100-year return period level (etwl),IPCC_sup_52,IPCC,ecosystems,Direct drivers,Abiotic conditions,Climate change,0,FALSE,TRUE
10-day cumulative precipitation,IPCC_12_17_597_336,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
15n/14n isotope ratio,IPCC_5_36_279_198,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
2 m air temperatures,IPCC_12_15_596_334,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
ability of ecosystems to absorb and buffer hazards,IPBES_GA_2.3_42_143_309,IPBES,Ecosystem services,NA,Nature contribution,NA,0,FALSE,TRUE
abnormal occurrences in the territory,IPBES_SUA_2_95_77_24,IPBES,Knowledge systems,Knowledge systems,ILK,Specific information on human-nature relationship,0,FALSE,TRUE
above-ground biomass,IPBES_GA_2.2_37_70_157;IPBES_GA_2.2_39_76_211;IPBES_GA2.2_sup_1,IPBES,ecosystems,NA,State of ecosystems,NA,0,FALSE,TRUE
above-ground biomass in forests,GBF_T8_CY_181;IPBES_GA_2.3_39_137_270,GBF,ecosystems,NA,State of ecosystems,NA,1,TRUE,FALSE
above-ground biomass in forests,GBF_T8_CY_181;IPBES_GA_2.3_39_137_270,IPBES,ecosystems,NA,State of ecosystems,NA,1,FALSE,TRUE
absence of conflict as indicator of political stability,IPBES_GA_2_24_29_97,IPBES,Knowledge systems,NA,Information on society and socio-economics,NA,0,FALSE,TRUE
absolute global forcing potential (agfp),IPCC_7_91_360_228,IPCC,Direct drivers,NA,Climate change,NA,0,FALSE,TRUE
absolute global temperature change potential (agtp),IPCC_7_91_360_230,IPCC,Direct drivers,NA,Climate change,NA,0,FALSE,TRUE
abundance and location of habitat,IPBES_SUA_4_78_130_60,IPBES,ecosystems,NA,State of ecosystems,NA,0,FALSE,TRUE
abundance of food species,IPBES_SUA_2_96_79_25,IPBES,Knowledge systems,Ecosystem services,ILK,Nature contribution,0,FALSE,TRUE
abundance of managed and wild pollinators,IPBES_GA_2.3_42_143_293,IPBES,biodiversity,NA,State of biodiversity,NA,0,FALSE,TRUE
abundance of preferred harvest species,IPBES_SUA_2_97_80_42,IPBES,Knowledge systems,Ecosystem services,ILK,Nature contribution,0,FALSE,TRUE
access to electricity,IPBES_GA2.1_sup_15,IPBES,Human assets,NA,Coverage of basic needs,NA,0,FALSE,TRUE
access to improved sanitation facilities,IPBES_GA_2_109_44_115;IPBES_GA2.1_sup_6,IPBES,Human assets,NA,Coverage of basic needs,NA,0,FALSE,TRUE
access to land,IPBES_SUA_4_149_137_66,IPBES,Human well-being,NA,Equity,NA,0,FALSE,TRUE
accessibility of resources,IPBES_SUA_2_95_77_21,IPBES,Knowledge systems,Ecosystem services,ILK,Nature contribution,0,FALSE,TRUE
accumulated cyclone energy (ace),IPCC_11_79_569_326,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
accumulated seasonal heat,IPCC_12_14_594_332,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
achievement of a circular economic system,GEO_17_20_212_184,GEO,Knowledge systems,NA,Information on society and socio-economics,NA,0,FALSE,TRUE
activity status/viability of cms family of instruments,CMS_G1.3_4,CMS,Governance,NA,Nature-based legislation,NA,1,TRUE,FALSE
adaptive capacity index (aci),IPBES_GA_4_129_208_373,IPBES,biodiversity,NA,State of biodiversity,NA,0,FALSE,TRUE
additional financial resources mobilized for developing countries from multiple sources,SDG_G17.3.1_239,SDG,Governance,NA,Nature-based funding,NA,1,TRUE,FALSE
"adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",SDG_G3.7.2_43,SDG,Human assets,Knowledge systems,Coverage of basic needs,Information on society and socio-economics,1,TRUE,FALSE
advanced malaria control,GEO_22_21_257_240,GEO,Human well-being,Direct drivers,Healthy living conditions,(Infectious) diseases,0,FALSE,TRUE
adverse changes in woody or shrubby vegetation,IPBES_GA_2.2_81_123_247,IPBES,ecosystems,NA,Change in ecosystems,NA,0,FALSE,TRUE
adverse changes of unpalatable species,IPBES_GA_2.2_81_123_248,IPBES,biodiversity,NA,Change in biodiversity,NA,0,FALSE,TRUE
aerosol abundance,IPCC_2_24_45_45,IPCC,Direct drivers,NA,Pollution,NA,0,FALSE,TRUE
aerosol changes,IPCC_3_17_173_142,IPCC,Direct drivers,NA,Climate change,NA,0,FALSE,TRUE
aerosol index,IPCC_7_29_329_215,IPCC,Direct drivers,NA,Pollution,NA,0,FALSE,TRUE
age-standardized prevalence of current tobacco use among persons aged 15 years and older,SDG_G3.a.1_49,SDG,Human assets,Knowledge systems,Coverage of basic needs,Information on society and socio-economics,1,TRUE,FALSE
aggregated total applied toxicity,GBF_T7_H_25,GBF,Direct drivers,NA,Pollution,NA,1,TRUE,FALSE
agricultural emissions from different farming sectors,GEO_17_11_203_175,GEO,Direct drivers,NA,Pollution,NA,0,FALSE,TRUE
agricultural employment and landholders,GEO_3_10_20_29,GEO,Human assets,NA,Income,NA,0,FALSE,TRUE
agricultural export subsidies,SDG_G2.b.1_26;IPBES_SUA_sup_2.b.1_24,SDG,Governance,NA,Legislation/governance,NA,1,TRUE,FALSE
agricultural export subsidies,SDG_G2.b.1_26;IPBES_SUA_sup_2.b.1_24,IPBES,Governance,NA,Legislation/governance,NA,1,FALSE,TRUE
agricultural land,IPBES_GA2.1_sup_30,IPBES,Direct drivers,Ecosystem services,Land conversion,Nature contribution,0,FALSE,TRUE
agricultural water withdrawal,IPBES_GA2.1_sup_58,IPBES,Ecosystem services,NA,Nature contribution,NA,0,FALSE,TRUE
agriculture orientation index for government expenditures,SDG_G2.a.1_24;IPBES_SUA_sup_2.a.1_22,SDG,Direct drivers,NA,Land conversion,NA,1,TRUE,FALSE
agriculture orientation index for government expenditures,SDG_G2.a.1_24;IPBES_SUA_sup_2.a.1_22,IPBES,Direct drivers,NA,Land conversion,NA,1,FALSE,TRUE
agriculture-based materials produced (tons),IPBES_GA_2.3_42_143_330,IPBES,Ecosystem services,NA,Nature contribution,NA,0,FALSE,TRUE
agro-biodiversity,GEO_23_24_262_244,GEO,biodiversity,NA,State of biodiversity,NA,0,FALSE,TRUE
agrobiodiversity index,GBF_T10_CY_193,GBF,Ecosystem services,biodiversity,Nature contribution,State of biodiversity,1,TRUE,FALSE
aid for trade commitments and disbursements,SDG_G8.a.1_115;IPBES_SUA_sup_8.a.1_57,SDG,Governance,NA,Nature-based funding,NA,1,TRUE,FALSE
aid for trade commitments and disbursements,SDG_G8.a.1_115;IPBES_SUA_sup_8.a.1_57,IPBES,Governance,NA,Nature-based funding,NA,1,FALSE,TRUE
air departures,IPBES_GA2.1_sup_39,IPBES,Human assets,NA,Infrastructure (build-up area),NA,0,FALSE,TRUE
air emission accounts,GBF_T11_CY_199,GBF,Direct drivers,NA,Climate change,NA,1,TRUE,FALSE
