Indicators harmonized,Sources,Elements,Subelements,Frequency of use,MEA/assess,Indicators original name,Elements_2,Subelements_2
1-in-100-year return period level (etwl),IPCC,ecosystems,Abiotic conditions,1,assessment,1-in-100-year return period level (ETWL),Direct drivers,Climate change
10-day cumulative precipitation,IPCC,ecosystems,Abiotic conditions,1,assessment,10-day  cumulative precipitation,,
15n/14n isotope ratio,IPCC,ecosystems,Abiotic conditions,1,assessment,15N/14N isotope ratio,,
2 m air temperatures,IPCC,ecosystems,Abiotic conditions,1,assessment,2 m air temperatures,,
ability of ecosystems to absorb and buffer hazards,IPBES,Ecosystem services,Nature contribution,1,assessment,Ability of ecosystems to absorb and buffer hazards,,
abnormal occurrences in the territory,IPBES,Knowledge systems,ILK,1,assessment,abnormal occurrences in the territory,Knowledge systems,Specific information on human-nature relationship
above-ground biomass,IPBES,ecosystems,State of ecosystems,1,assessment,Aboveground biomass,,
above-ground biomass in forests,GBF;IPBES,ecosystems,State of ecosystems,2,both,Above-ground biomass stock in forest (tonnes/ha); Aboveground biomass in forests,,
absence of conflict as indicator of political stability,IPBES,Knowledge systems,Information on society and socio-economics,1,assessment,Absence of conflict as indicator of political stability,,
absolute global forcing potential (agfp),IPCC,Direct drivers,Climate change,1,assessment,absolute global forcing potential (AGFP),,
absolute global temperature change potential (agtp),IPCC,Direct drivers,Climate change,1,assessment,absolute global temperature change potential (AGTP),,
abundance and location of habitat,IPBES,ecosystems,State of ecosystems,1,assessment,abundance and location of habitat,,
abundance of food species,IPBES,Knowledge systems,ILK,1,assessment,abundance of food species,Ecosystem services,Nature contribution
abundance of managed and wild pollinators,IPBES,biodiversity,State of biodiversity,1,assessment,Abundance of managed and wild pollinators,,
abundance of preferred harvest species,IPBES,Knowledge systems,ILK,1,assessment,abundance of preferred harvest species,Ecosystem services,Nature contribution
access to electricity,IPBES,Human assets,Coverage of basic needs,1,assessment,Access to electricity,,
access to improved sanitation facilities,IPBES,Human assets,Coverage of basic needs,1,assessment,Access to improved sanitation facilities,,
access to land,IPBES,Human well-being,Equity,1,assessment,access to land,,
accessibility of resources,IPBES,Knowledge systems,ILK,1,assessment,accessibility of resources,Ecosystem services,Nature contribution
accumulated cyclone energy (ace),IPCC,ecosystems,Abiotic conditions,1,assessment,Accumulated Cyclone Energy (ACE),,
accumulated seasonal heat,IPCC,ecosystems,Abiotic conditions,1,assessment,accumulated seasonal heat,,
achievement of a circular economic system,GEO,Knowledge systems,Information on society and socio-economics,1,assessment,achievement of a circular economic system,,
activity status/viability of cms family of instruments,CMS,Governance,Nature-based legislation,1,mea,Activity status/viability of CMS Family of instruments,,
adaptive capacity index (aci),IPBES,biodiversity,State of biodiversity,1,assessment,Adaptive capacity index (ACI),,
additional financial resources mobilized for developing countries from multiple sources,SDG,Governance,Nature-based funding,1,mea,Additional financial resources mobilized for developing countries from multiple sources,,
"adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",SDG,Human assets,Coverage of basic needs,1,mea,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",Knowledge systems,Information on society and socio-economics
advanced malaria control,GEO,Human well-being,Healthy living conditions,1,assessment,advanced malaria control,Direct drivers,(Infectious) diseases
adverse changes in woody or shrubby vegetation,IPBES,ecosystems,Change in ecosystems,1,assessment,Adverse changes in woody or shrubby vegetation,,
adverse changes of unpalatable species,IPBES,biodiversity,Change in biodiversity,1,assessment,adverse changes of unpalatable species,,
aerosol abundance,IPCC,Direct drivers,Pollution,1,assessment,Aerosol abundance,,
aerosol changes,IPCC,Direct drivers,Climate change,1,assessment,aerosol changes,,
aerosol index,IPCC,Direct drivers,Pollution,1,assessment,Aerosol Index,,
